META; spain/la-liga-primera/atletico-madrid-v-sevilla; 2017-03-05 20:20:15 GMT+2; 2017-03-19 15:15; e70300-dr003
Atletico Madrid; 4/5; ; 3/4; ; ; ; 4/5; ; ; 4/5; 4/5; ; 4/5; ; ; 4/5; 10/13; 10/11; ; 10/13; 17/20; ; ; ; ; ; ; 
Draw; 11/4; 29/10; 3; 14/5; 3; 3; 3; 11/4; 14/5; 14/5; 14/5; 14/5; 57/20; 3; 14/5; 14/5; 29/10; 29/10; 14/5; 29/10; 3; 58/19; 14/5; 14/5; 37/13; ; 14/5; 3; 3
Sevilla ; 9/2; 17/4; 9/2; 9/2; 9/2; 17/4; 9/2; 4; 17/4; 9/2; 9/2; 9/2; 9/2; 24/5; 9/2; 9/2; 9/2; 17/4; 23/5; 9/2; 24/5; 43/10; 19/4; 9/2; 19/4; ; 9/2; 23/5; 24/5
META; spain/la-liga-primera/atletico-madrid-v-sevilla; 2017-03-19 09:46:21 GMT+2; 2017-03-19 15:15; e70300-dr003
Atletico Madrid; 4/6; 4/6; 4/6; 4/6; 4/6; 4/6; 4/6; 8/13; 8/13; 8/13; 8/13; 4/6; 13/20; 4/6; 13/20; 4/6; 8/13; 8/13; 4/7; 8/13; 17/25; 11/17; 5/8; 4/6; 11/17; ; 8/13; 8/13; 4/6
Draw; 11/4; 3; 3; 14/5; 3; 3; 3; 11/4; 14/5; 14/5; 14/5; 14/5; 57/20; 3; 14/5; 3; 29/10; 3; 14/5; 29/10; 3; 58/19; 14/5; 3; 37/13; ; 14/5; 3; 3
Sevilla ; 9/2; 17/4; 9/2; 9/2; 9/2; 17/4; 9/2; 4; 17/4; 17/4; 9/2; 9/2; 9/2; 24/5; 9/2; 9/2; 9/2; 9/2; 23/5; 9/2; 24/5; 22/5; 19/4; 9/2; 19/4; ; 9/2; 23/5; 24/5
META; spain/la-liga-primera/atletico-madrid-v-sevilla; 2017-03-19 11:46:59 GMT+2; 2017-03-19 15:15; e70300-dr003
Atletico Madrid; 4/6; 4/6; 4/6; 4/6; 4/6; 4/6; 13/20; 8/13; 8/13; 8/13; 8/13; 4/6; 13/20; 4/6; 13/20; 4/6; 8/13; 11/17; 4/7; 8/13; 17/25; 19/29; 5/8; 4/6; 11/17; ; 8/13; 8/13; 4/6
Draw; 11/4; 3; 3; 14/5; 3; 3; 3; 11/4; 14/5; 14/5; 14/5; 14/5; 57/20; 3; 14/5; 3; 29/10; 3; 14/5; 29/10; 3; 29/10; 14/5; 3; 37/13; ; 14/5; 3; 3
Sevilla ; 9/2; 17/4; 9/2; 9/2; 9/2; 17/4; 19/4; 4; 17/4; 17/4; 9/2; 9/2; 9/2; 24/5; 9/2; 9/2; 9/2; 9/2; 23/5; 9/2; 24/5; 9/2; 19/4; 9/2; 19/4; ; 23/5; 23/5; 24/5
META; spain/la-liga-primera/atletico-madrid-v-sevilla; 2017-03-19 12:19:40 GMT+2; 2017-03-19 15:15; e70300-dr003
Atletico Madrid; 8/13; 4/6; 4/6; 4/6; 4/6; 4/6; 4/6; 8/13; 8/13; 8/13; 4/6; 8/13; 13/20; 4/6; 13/20; 4/6; 11/18; 11/17; 4/7; 11/18; 17/25; 4/6; 5/8; 4/6; 7/11; ; 8/13; 8/13; 4/6
Draw; 3; 3; 3; 14/5; 3; 3; 3; 11/4; 14/5; 14/5; 14/5; 3; 57/20; 3; 14/5; 3; 56/19; 3; 14/5; 56/19; 3; 29/10; 37/13; 3; 29/10; ; 14/5; 3; 3
Sevilla ; 9/2; 17/4; 9/2; 9/2; 9/2; 17/4; 9/2; 4; 17/4; 9/2; 9/2; 4; 9/2; 24/5; 9/2; 9/2; 23/5; 9/2; 23/5; 23/5; 24/5; 22/5; 23/5; 9/2; 47/10; ; 23/5; 23/5; 24/5
META; spain/la-liga-primera/atletico-madrid-v-sevilla; 2017-03-19 13:01:54 GMT+2; 2017-03-19 15:15; e70300-dr003
Atletico Madrid; 8/13; 4/6; 4/6; 4/6; 4/6; 4/6; 4/6; 8/13; 8/13; 8/13; 8/13; 8/13; 8/13; 4/6; 13/20; 4/6; 11/18; 11/17; 4/7; 11/18; 17/25; 11/17; 5/8; 4/6; 7/11; ; 8/13; 8/13; 4/6
Draw; 3; 3; 3; 14/5; 3; 3; 3; 11/4; 14/5; 14/5; 3; 3; 3; 3; 14/5; 3; 56/19; 3; 14/5; 56/19; 3; 29/10; 37/13; 3; 29/10; ; 14/5; 3; 3
Sevilla ; 9/2; 17/4; 9/2; 9/2; 9/2; 17/4; 9/2; 4; 17/4; 17/4; 9/2; 4; 19/4; 24/5; 9/2; 9/2; 9/2; 9/2; 23/5; 9/2; 24/5; 9/2; 23/5; 9/2; 47/10; ; 23/5; 23/5; 24/5
META; spain/la-liga-primera/atletico-madrid-v-sevilla; 2017-03-19 13:47:00 GMT+2; 2017-03-19 15:15; e70300-dr003
Atletico Madrid; 8/13; 4/6; 4/6; 4/6; 4/6; 4/6; 4/6; 8/13; 8/13; 8/13; 8/13; 8/13; 8/13; 4/6; 13/20; 4/6; 11/18; 11/17; 4/7; 11/18; 33/50; 19/29; 5/8; 4/6; 7/11; ; 8/13; 8/13; 4/6
Draw; 3; 3; 3; 14/5; 3; 3; 3; 11/4; 14/5; 14/5; 3; 3; 3; 3; 14/5; 3; 56/19; 3; 14/5; 56/19; 63/20; 29/10; 37/13; 3; 29/10; ; 14/5; 3; 3
Sevilla ; 9/2; 17/4; 9/2; 9/2; 9/2; 17/4; 9/2; 4; 17/4; 17/4; 9/2; 4; 19/4; 24/5; 9/2; 9/2; 9/2; 9/2; 23/5; 9/2; 47/10; 9/2; 23/5; 9/2; 47/10; ; 23/5; 23/5; 24/5
META; spain/la-liga-primera/atletico-madrid-v-sevilla; 2017-03-19 15:46:38 GMT+2; 2017-03-19 15:15; e70300-dr003
Atletico Madrid; 8/13; 8/13; 4/6; 4/6; 4/6; 4/6; 13/20; 8/13; 8/13; 8/13; 8/13; 8/13; 8/13; 4/6; 13/20; 4/6; 11/18; 11/17; 4/7; 11/18; 33/50; 11/17; 5/8; 4/6; 7/11; ; 8/13; 8/13; 4/6
Draw; 3; 3; 3; 14/5; 3; 3; 3; 11/4; 14/5; 14/5; 3; 3; 3; 16/5; 14/5; 3; 3; 3; 14/5; 3; 63/20; 56/19; 37/13; 3; 29/10; ; 14/5; 3; 3
Sevilla ; 9/2; 9/2; 9/2; 9/2; 9/2; 17/4; 19/4; 4; 17/4; 17/4; 9/2; 4; 19/4; 24/5; 9/2; 9/2; 9/2; 9/2; 23/5; 9/2; 47/10; 22/5; 23/5; 9/2; 47/10; ; 23/5; 23/5; 24/5
META; spain/la-liga-primera/atletico-madrid-v-sevilla; 2017-03-19 16:19:50 GMT+2; 2017-03-19 15:15; e70300-dr003
Atletico Madrid; 4/7; 8/13; 8/13; 8/13; 3/5; 8/13; 8/13; 8/13; 4/7; 3/5; 8/13; 6/10; 3/5; 8/13; 8/13; 8/13; 10/17; 3/5; 4/7; 10/17; 33/50; 10/17; 7/12; 6/10; 7/11; ; 4/7; 4/7; 4/7
Draw; 3; 3; 31/10; 3; 3; 3; 31/10; 11/4; 3; 3; 3; 14/5; 3; 16/5; 3; 3; 58/19; 31/10; 14/5; 58/19; 63/20; 58/19; 31/10; 3; 29/10; ; 3; 3; 10/3
Sevilla ; 5; 9/2; 19/4; 24/5; 5; 19/4; 19/4; 4; 9/2; 9/2; 19/4; 9/2; 5; 5; 9/2; 5; 24/5; 5; 23/5; 24/5; 47/10; 5; 23/5; 5; 47/10; ; 24/5; 5; 5
META; spain/la-liga-primera/atletico-madrid-v-sevilla; 2017-03-19 17:46:43 GMT+2; 2017-03-19 15:15; In Play; e70300-dr003
Atletico Madrid; 8/13; 8/13; 13/20; 13/20; ; 3/5; 3/5; 8/15; ; 13/20; 6/10; 11/20; 13/20; 8/13; ; ; 6/11; 7/10; ; 6/11; ; ; ; ; ; ; 4/7; 8/13; 8/13
Draw; 12/5; 9/4; 47/20; 9/4; ; 5/2; 12/5; 23/10; ; 11/5; 11/5; 5/2; 47/20; 5/2; ; ; 56/19; 12/5; ; 56/19; ; ; ; ; ; ; 14/5; 13/5; 11/4
Sevilla; 6; 5; 6; 6; ; 11/2; 6; 13/2; ; 5; 11/2; 5; 11/2; 11/2; ; ; 49/10; 11/2; ; 49/10; ; ; ; ; ; ; 28/5; 28/5; 29/5
META; spain/la-liga-primera/atletico-madrid-v-sevilla; 2017-03-19 18:34:18 GMT+2; 2017-03-19 15:15; In Play; e70300-dr003
Atletico Madrid; 1/40; 1/50; 2/9; 1/100; 1/5; ; 1/50; 1/8; ; 1/5; 1/33; 1/5; 2/11; 1/5; ; ; 1/5; 1/33; ; 1/5; ; ; ; 2/11; 3/14; ; 2/9; 2/9; 2/9
Draw; 18; 25; 19/4; 20; 5; ; 14; 4; ; 20; 18; 9/2; 19/4; 5; ; ; 50/11; 19; ; 50/11; ; ; ; 5; 9/2; ; 23/5; 26/5; 9/2
Sevilla; 80; 100; 18; 55; 22; ; 90; 25; ; 90; 70; 16; 28; 20; ; ; 73/4; 100; ; 73/4; ; ; ; 22; 18; ; 23; 27; 26
