META; spain/la-liga-primera/real-madrid-v-alaves; 2017-03-12 16:18:43 GMT+2; 2017-04-02 14:15; e70300-dr003
Real Madrid; ; ; 1/9; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 2/17; ; ; 7/50; ; ; ; ; ; ; 
Draw; ; ; 11/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 7; ; ; 19/2; ; ; ; ; ; ; 
Alaves; ; ; 18; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 18; ; ; 22; ; ; ; ; ; ; 
META; spain/la-liga-primera/real-madrid-v-alaves; 2017-03-12 20:19:34 GMT+2; 2017-04-02 14:15; e70300-dr003
Real Madrid; ; ; 1/9; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 2/17; ; ; 7/50; ; ; ; ; ; ; 
Draw; ; ; 11/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 7; ; ; 19/2; ; ; ; ; ; ; 
Alaves; ; ; 18; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 18; ; ; 22; ; ; ; ; ; ; 
META; spain/la-liga-primera/real-madrid-v-alaves; 2017-03-13 00:18:34 GMT+2; 2017-04-02 14:15; e70300-dr003
Real Madrid; ; ; 1/9; ; ; ; ; ; ; ; ; ; ; ; ; ; 3/19; 2/17; ; 3/19; 7/50; ; ; ; ; ; ; 
Draw; ; ; 11/2; ; ; ; ; ; ; ; ; ; ; ; ; ; 96/17; 7; ; 96/17; 19/2; ; ; ; ; ; ; 
Alaves; ; ; 18; ; ; ; ; ; ; ; ; ; ; ; ; ; 31/2; 18; ; 31/2; 22; ; ; ; ; ; ; 
META; spain/la-liga-primera/real-madrid-v-alaves; 2017-03-13 04:18:16 GMT+2; 2017-04-02 14:15; e70300-dr003
Real Madrid; 1/10; ; 1/9; ; ; ; 1/9; ; ; ; ; ; ; ; ; 2/17; 2/17; 2/17; ; 2/17; 7/50; ; ; ; ; ; ; 
Draw; 10; ; 11/2; ; ; ; 10; ; ; ; ; ; ; ; ; 10; 15/2; 7; ; 15/2; 19/2; ; ; ; ; ; ; 
Alaves; 14; ; 18; ; ; ; 17; ; ; ; ; ; ; ; ; 16; 57/4; 18; ; 57/4; 22; ; ; ; ; ; ; 
META; spain/la-liga-primera/real-madrid-v-alaves; 2017-03-13 08:18:25 GMT+2; 2017-04-02 14:15; e70300-dr003
Real Madrid; 1/10; ; 1/9; ; ; ; 1/9; ; ; ; ; ; ; ; ; 2/17; 2/17; 2/17; ; 2/17; 7/50; ; ; ; ; ; ; 
Draw; 10; ; 11/2; ; ; ; 10; ; ; ; ; ; ; ; ; 10; 29/4; 7; ; 29/4; 19/2; ; ; ; ; ; ; 
Alaves; 14; ; 18; ; ; ; 17; ; ; ; ; ; ; ; ; 16; 57/4; 18; ; 57/4; 22; ; ; ; ; ; ; 
META; spain/la-liga-primera/real-madrid-v-alaves; 2017-03-13 12:19:08 GMT+2; 2017-04-02 14:15; e70300-dr003
Real Madrid; 1/10; ; 1/9; ; ; ; 1/9; ; ; ; ; ; ; ; ; 1/9; 2/17; 2/17; ; 2/17; 7/50; ; ; ; ; ; ; 
Draw; 10; ; 11/2; ; ; ; 10; ; ; ; ; ; ; ; ; 10; 29/4; 7; ; 29/4; 19/2; ; ; ; ; ; ; 
Alaves; 14; ; 18; ; ; ; 17; ; ; ; ; ; ; ; ; 18; 29/2; 18; ; 29/2; 22; ; ; ; ; ; ; 
META; spain/la-liga-primera/real-madrid-v-alaves; 2017-03-13 16:21:04 GMT+2; 2017-04-02 14:15; e70300-dr003
Real Madrid; 1/10; ; 1/8; ; ; ; 1/10; ; ; ; ; ; ; ; ; 1/9; 1/10; 2/17; ; 1/10; 7/50; 1/9; ; ; ; ; ; ; 
Jaroslaw Jach; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 22; ; 23; 22; ; ; 23; ; 23; ; ; ; 
Đorde Cotra; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 45/2; ; 23; ; ; ; 23; ; 23; ; ; ; 
Denis Perger; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 25; ; 26; ; ; ; 26; ; 26; ; ; ; 
Pawel Stolarski; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 25; ; 26; ; ; ; 26; ; 26; ; ; ; 
Sebastian Madera; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 28; ; 29; ; ; ; 29; ; 29; ; ; ; 
Aleksandar Todorovski; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 34; ; 34; 34; ; ; 34; ; 34; ; ; ; 
Jakub Tosik; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 34; ; 34; ; ; ; 34; ; 34; ; ; ; 
Daniel Dziwniel; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 38; ; 40; ; ; ; 40; ; 40; ; ; ; 
Lubomir Guldan; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 45; ; 45; 45; ; ; 45; ; 45; ; ; ; 
META; spain/la-liga-primera/real-madrid-v-alaves; 2017-04-02 01:47:03 GMT+3; 2017-04-02 17:00; e70300-dr003
Brondby IF; 6/5; 21/20; ; ; 11/10; 23/20; 23/20; 1; 11/10; 11/10; 21/20; 21/20; ; ; 23/20; 11/10; 21/20; 11/10; 1; 21/20; 23/20; 12/11; 42/41; 11/10; 24/23; ; 1; 10/9; 
Draw; 12/5; 23/10; ; ; 12/5; 5/2; 12/5; 23/10; 12/5; 23/10; 11/5; 12/5; ; ; 23/10; 23/10; 40/17; 12/5; 12/5; 40/17; 51/20; 40/17; 27/11; 23/10; 5/2; ; 9/4; 21/10; 
FC Midtjylland; 11/5; 23/10; ; ; 23/10; 12/5; 12/5; 12/5; 9/4; 12/5; 21/10; 11/5; ; ; 23/10; 23/10; 12/5; 23/10; 5/2; 12/5; 129/50; 21/10; 28/11; 9/4; 13/5; ; 23/10; 2; 
META; spain/la-liga-primera/real-madrid-v-alaves; 2017-04-02 04:18:21 GMT+3; 2017-04-02 15:15; e70300-dr003
Real Madrid; 1/9; 1/7; 2/13; 1/8; 1/7; 1/7; 1/8; 1/7; 2/15; 1/7; 1/9; 1/7; 2/15; 1/7; 2/15; 2/17; 1/9; 2/17; 2/15; 1/9; 7/50; 1/8; 1/8; 2/15; 1/7; ; 2/15; 1/7; 2/13
Draw; 9; 8; 15/2; 17/2; 8; 17/2; 9; 7; 15/2; 15/2; 8; 7; 15/2; 8; 8; 8; 33/4; 17/2; 8; 33/4; 9; 17/2; 8; 8; 8; ; 9; 46/5; 44/5
Alaves; 18; 18; 18; 20; 20; 18; 22; 18; 16; 18; 18; 16; 20; 22; 16; 20; 41/2; 37/2; 17; 41/2; 19; 18; 17; 20; 17; ; 24; 23; 22
META; spain/la-liga-primera/real-madrid-v-alaves; 2017-04-02 08:18:51 GMT+3; ; e70300-dr003
Feyenoord; 2/5; 2/5; 2/5; 3/10; ; 2/5; ; 2/5; 4/9; ; ; 2/5; ; 2/5; 2/5; ; 1/3; 2/5; 3/10; 1/3; 21/50; 2/5; 3/10; ; 3/10; ; 1/4; ; 
Twente; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 5/11; ; ; ; 
Ajax; 3; 3; 3; 3; ; 3; ; 3; 3; ; ; 3; ; 3; 3; ; 3; 3; 3; 3; 61/20; 3; 3; ; 3; ; 3; ; 
AZ Alkmaar; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 15/4; ; ; ; 
Vitesse; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 5; ; ; ; 
Zwolle; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 5; ; ; ; 
PSV; 6; 11/2; 6; 6; ; 13/2; ; 11/2; 11/2; ; ; 11/2; ; 11/2; 11/2; ; 7; 6; 9; 7; 15/2; 11/2; 9; ; 9; ; 5; ; 
Heerenveen; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 15; ; ; ; 
Groningen; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 15; ; ; ; 
Cambuur; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 25; ; ; ; 
Utrecht; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 60; ; ; ; 
Willem II; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 100; ; ; ; 
