META; champions-league/borussia-dortmund-v-monaco; 2017-03-17 14:15:11 GMT+2; 2017-04-11 19:45; Nothing; Xlenovo
Borussia Dortmund; ; ; ; ; ; ; ; ; 4/6; 13/20; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; ; ; ; ; ; ; ; ; 3; 3; ; ; ; ; ; ; 31/10; ; ; ; ; ; ; ; ; ; ; ; 
Monaco; ; ; ; ; ; ; ; ; 7/2; 15/4; ; ; ; ; ; ; 75/19; ; ; ; ; ; ; ; ; ; ; ; 
META; champions-league/borussia-dortmund-v-monaco; 2017-03-17 18:15:03 GMT+2; 2017-04-11 19:45; Nothing; Xlenovo
Borussia Dortmund; 4/7; 7/10; 13/20; 4/6; 4/6; 4/6; 13/20; 4/6; 8/13; 13/20; 4/6; 8/13; 8/13; 13/20; 13/20; 7/10; 8/13; 4/6; 8/13; 8/13; 7/10; 19/29; 11/17; 6/10; 11/17; ; 4/7; 4/7; 
META; champions-league/borussia-dortmund-v-monaco; 2017-04-05 06:15:00 GMT+3; 2017-04-11 19:45; Nothing; Xlenovo
Borussia Dortmund; 4/6; 8/13; 13/20; 4/6; 4/6; 4/6; 13/20; 4/6; 8/13; 13/20; 4/6; 4/6; 8/13; 13/20; 13/20; 4/6; 11/17; 11/17; 8/13; 11/17; 67/100; 4/6; 11/17; 4/6; 11/17; ; 8/13; 4/7; 4/6
Draw; 16/5; 10/3; 16/5; 16/5; 16/5; 10/3; 10/3; 16/5; 10/3; 16/5; 11/4; 16/5; 16/5; 16/5; 7/2; 16/5; 13/4; 14/5; 3; 13/4; 71/20; 57/17; 3; 3; 3; ; 3; 3; 10/3
Monaco; 15/4; 15/4; 37/10; 7/2; 19/5; 15/4; 15/4; 7/2; 7/2; 15/4; 4; 7/2; 4; 4; 7/2; 7/2; 19/5; 4; 4; 19/5; 41/10; 7/2; 4; 15/4; 4; ; 7/2; 7/2; 7/2
META; champions-league/borussia-dortmund-v-monaco; 2017-04-05 10:15:01 GMT+3; 2017-04-11 19:45; Nothing; Xlenovo
Borussia Dortmund; 4/6; 8/13; 13/20; 4/6; 4/6; 4/6; 13/20; 4/6; 8/13; 13/20; 4/6; 4/6; 8/13; 13/20; 13/20; 4/6; 11/17; 11/17; 8/13; 11/17; 67/100; 4/6; 11/17; 4/6; 11/17; ; 4/6; 4/7; 4/6
Draw; 16/5; 10/3; 16/5; 16/5; 16/5; 10/3; 10/3; 16/5; 10/3; 16/5; 11/4; 16/5; 16/5; 16/5; 7/2; 16/5; 16/5; 14/5; 3; 16/5; 71/20; 57/17; 3; 3; 3; ; 5/6; 3; 10/3
Monaco; 15/4; 15/4; 37/10; 7/2; 19/5; 15/4; 15/4; 7/2; 7/2; 15/4; 4; 7/2; 4; 4; 7/2; 7/2; 50/13; 4; 4; 50/13; 41/10; 7/2; 4; 15/4; 4; ; 4/7; 7/2; 7/2
META; champions-league/borussia-dortmund-v-monaco; 2017-04-05 14:15:02 GMT+3; 2017-04-11 19:45; Nothing; Xlenovo
Borussia Dortmund; 4/6; 8/13; 13/20; 4/6; 4/6; 4/6; 8/13; 4/6; 8/13; 13/20; 4/6; 4/6; 8/13; 13/20; 13/20; 4/6; 11/17; 11/17; 8/13; 11/17; 67/100; 4/6; 11/17; 4/6; 11/17; ; 8/13; 8/13; 4/6
Draw; 16/5; 7/2; 16/5; 16/5; 16/5; 10/3; 7/2; 16/5; 10/3; 16/5; 11/4; 16/5; 16/5; 16/5; 7/2; 16/5; 16/5; 14/5; 3; 16/5; 71/20; 57/17; 3; 3; 3; ; 3; 3; 10/3
Monaco; 15/4; 7/2; 37/10; 7/2; 19/5; 15/4; 15/4; 7/2; 7/2; 15/4; 4; 7/2; 4; 4; 7/2; 7/2; 50/13; 4; 4; 50/13; 41/10; 7/2; 4; 15/4; 4; ; 7/2; 7/2; 7/2
META; champions-league/borussia-dortmund-v-monaco; 2017-04-05 18:15:00 GMT+3; 2017-04-11 19:45; Nothing; Xlenovo
Borussia Dortmund; 4/6; 8/13; 13/20; 4/6; 4/6; 4/6; 8/13; 4/6; 8/13; 13/20; 4/6; 4/6; 8/13; 13/20; 13/20; 4/6; 11/17; 11/17; 8/13; 11/17; 67/100; 4/6; 11/17; 4/6; 11/17; ; 5/6; 8/13; 4/6
Draw; 16/5; 7/2; 16/5; 16/5; 16/5; 10/3; 7/2; 16/5; 10/3; 16/5; 11/4; 16/5; 16/5; 16/5; 7/2; 16/5; 16/5; 14/5; 3; 16/5; 71/20; 57/17; 3; 3; 3; ; 3; 3; 
Monaco; 15/4; 7/2; 37/10; 7/2; 19/5; 15/4; 15/4; 7/2; 7/2; 15/4; 4; 7/2; 4; 4; 7/2; 7/2; 50/13; 4; 4; 50/13; 41/10; 7/2; 4; 15/4; 4; ; 4/6; 7/2; 
META; champions-league/borussia-dortmund-v-monaco; 2017-04-05 22:15:00 GMT+3; 2017-04-11 19:45; Nothing; Xlenovo
Borussia Dortmund; 4/6; 8/13; 13/20; 4/6; 4/6; 4/6; 8/13; 4/6; 8/13; 13/20; 4/6; 4/6; 8/13; 13/20; 13/20; 4/6; 11/17; 11/17; 8/13; 11/17; 67/100; 4/6; 11/17; 4/6; 11/17; ; 5/6; 8/13; 4/6
Draw; 16/5; 7/2; 16/5; 16/5; 16/5; 10/3; 7/2; 16/5; 10/3; 16/5; 11/4; 16/5; 16/5; 16/5; 7/2; 16/5; 16/5; 14/5; 3; 16/5; 71/20; 57/17; 3; 3; 3; ; 3; 3; 10/3
Monaco; 15/4; 7/2; 37/10; 7/2; 19/5; 15/4; 15/4; 7/2; 7/2; 15/4; 4; 7/2; 4; 4; 7/2; 7/2; 50/13; 4; 4; 50/13; 41/10; 7/2; 4; 15/4; 4; ; 4/6; 7/2; 7/2
META; champions-league/borussia-dortmund-v-monaco; 2017-04-06 02:15:00 GMT+3; 2017-04-11 19:45; Nothing; Xlenovo
Borussia Dortmund; 4/6; 8/13; 13/20; 4/6; 4/6; 4/6; 13/20; 4/6; 8/13; 13/20; 4/6; 4/6; 8/13; 13/20; 13/20; 4/6; 11/17; 11/17; 8/13; 11/17; 67/100; 4/6; 11/17; 4/6; 11/17; ; 8/13; 4/7; 4/6
Draw; 16/5; 10/3; 16/5; 16/5; 16/5; 10/3; 10/3; 16/5; 10/3; 16/5; 11/4; 16/5; 16/5; 16/5; 7/2; 16/5; 16/5; 14/5; 3; 16/5; 71/20; 57/17; 3; 3; 3; ; 3; 14/5; 10/3
Monaco; 15/4; 10/3; 37/10; 7/2; 19/5; 15/4; 15/4; 7/2; 7/2; 15/4; 4; 7/2; 4; 4; 7/2; 7/2; 50/13; 4; 4; 50/13; 41/10; 7/2; 4; 15/4; 4; ; 7/2; 10/3; 7/2
META; champions-league/borussia-dortmund-v-monaco; 2017-04-06 06:15:00 GMT+3; 2017-04-11 19:45; Nothing; Xlenovo
Borussia Dortmund; 4/6; 8/13; 13/20; 4/6; 4/6; 4/6; 13/20; 4/6; 8/13; 13/20; 4/6; 4/6; 8/13; 13/20; 13/20; 4/6; 11/17; 11/17; 8/13; 11/17; 67/100; 4/6; 11/17; 4/6; 11/17; ; 8/13; 4/7; 4/6
Draw; 16/5; 10/3; 16/5; 16/5; 16/5; 10/3; 10/3; 16/5; 10/3; 16/5; 11/4; 16/5; 16/5; 16/5; 7/2; 16/5; 16/5; 3; 3; 16/5; 71/20; 57/17; 3; 3; 3; ; 3; 3; 10/3
Monaco; 15/4; 10/3; 37/10; 7/2; 19/5; 15/4; 15/4; 7/2; 7/2; 15/4; 4; 7/2; 4; 4; 7/2; 7/2; 19/5; 15/4; 4; 19/5; 41/10; 7/2; 4; 15/4; 4; ; 4/6; 7/2; 7/2
META; champions-league/borussia-dortmund-v-monaco; 2017-04-06 10:15:01 GMT+3; 2017-04-11 19:45; Nothing; Xlenovo
Borussia Dortmund; 4/6; 8/13; 13/20; 4/6; 4/6; 4/6; 13/20; 4/6; 8/13; 13/20; 4/6; 4/6; 8/13; 13/20; 13/20; 4/6; 11/17; 11/17; 8/13; 11/17; 67/100; 4/6; 11/17; 4/6; 11/17; ; 5/6; 4/7; 4/6
Draw; 16/5; 10/3; 16/5; 16/5; 16/5; 10/3; 10/3; 16/5; 10/3; 16/5; 11/4; 16/5; 16/5; 16/5; 7/2; 16/5; 16/5; 3; 3; 16/5; 71/20; 57/17; 3; 3; 3; ; 1; 14/5; 10/3
Monaco; 15/4; 10/3; 37/10; 7/2; 19/5; 15/4; 15/4; 7/2; 7/2; 15/4; 4; 7/2; 4; 4; 7/2; 7/2; 50/13; 15/4; 4; 50/13; 41/10; 7/2; 4; 15/4; 4; ; 7/2; 10/3; 7/2
META; champions-league/borussia-dortmund-v-monaco; 2017-04-06 14:15:00 GMT+3; 2017-04-11 19:45; Nothing; Xlenovo
Borussia Dortmund; 8/13; 8/13; 13/20; 4/6; 4/6; 4/6; 13/20; 4/6; 8/13; 13/20; 4/6; 4/6; 8/13; 13/20; 13/20; 4/6; 11/17; 11/17; 8/13; 11/17; 67/100; 4/6; 11/17; 8/13; 11/17; ; 8/13; 8/13; 4/6
Draw; 10/3; 10/3; 16/5; 16/5; 16/5; 10/3; 10/3; 16/5; 10/3; 16/5; 11/4; 16/5; 16/5; 16/5; 7/2; 16/5; 13/4; 3; 3; 13/4; 71/20; 57/17; 3; 16/5; 3; ; 7/2; 3; 10/3
Monaco; 4; 10/3; 37/10; 7/2; 19/5; 19/5; 15/4; 7/2; 7/2; 15/4; 4; 7/2; 4; 4; 7/2; 7/2; 50/13; 15/4; 4; 50/13; 41/10; 7/2; 4; 15/4; 4; ; 7/2; 7/2; 10/3
META; champions-league/borussia-dortmund-v-monaco; 2017-04-06 18:15:01 GMT+3; 2017-04-11 19:45; Nothing; Xlenovo
Borussia Dortmund; 8/13; 8/13; 13/20; 4/6; 4/6; 4/6; 13/20; 4/6; 8/13; 13/20; 4/6; 4/6; 8/13; 13/20; 13/20; 4/6; 11/17; 11/17; 8/13; 11/17; 17/25; 4/6; 11/17; 8/13; 11/17; ; 5/6; 8/13; 4/6
Draw; 10/3; 10/3; 16/5; 16/5; 16/5; 10/3; 10/3; 16/5; 10/3; 16/5; 11/4; 16/5; 16/5; 16/5; 7/2; 16/5; 13/4; 3; 3; 13/4; 69/20; 57/17; 3; 16/5; 3; ; 10/11; 3; 10/3
Monaco; 4; 15/4; 37/10; 7/2; 19/5; 19/5; 15/4; 7/2; 7/2; 15/4; 4; 7/2; 4; 4; 7/2; 7/2; 50/13; 15/4; 4; 50/13; 41/10; 7/2; 4; 15/4; 4; ; 4/7; 7/2; 10/3
META; champions-league/borussia-dortmund-v-monaco; 2017-04-06 22:15:01 GMT+3; 2017-04-11 19:45; Nothing; Xlenovo
Borussia Dortmund; 8/13; 8/13; 13/20; 4/6; 4/6; 4/6; 13/20; 4/6; 8/13; 13/20; 4/6; 4/6; 8/13; 13/20; 13/20; 4/6; 11/17; 11/17; 8/13; 11/17; 17/25; 4/6; 11/17; 8/13; 11/17; ; 5/6; 8/13; 4/6
Draw; 10/3; 10/3; 16/5; 16/5; 16/5; 10/3; 10/3; 16/5; 10/3; 16/5; 11/4; 16/5; 16/5; 16/5; 7/2; 16/5; 13/4; 3; 3; 13/4; 69/20; 57/17; 3; 16/5; 3; ; 10/11; 3; 10/3
Monaco; 4; 15/4; 37/10; 7/2; 19/5; 19/5; 15/4; 7/2; 7/2; 15/4; 4; 7/2; 4; 4; 7/2; 7/2; 50/13; 15/4; 4; 50/13; 41/10; 7/2; 4; 15/4; 4; ; 4/7; 7/2; 10/3
META; champions-league/borussia-dortmund-v-monaco; 2017-04-07 02:15:00 GMT+3; 2017-04-11 19:45; Nothing; Xlenovo
Borussia Dortmund; 8/13; 8/13; 13/20; 4/6; 4/6; 4/6; 13/20; 4/6; 8/13; 13/20; 4/6; 4/6; 8/13; 13/20; 13/20; 4/6; 11/17; 4/6; 8/13; 11/17; 17/25; 4/6; 11/17; 8/13; 11/17; ; 5/6; 4/6; 4/6
Draw; 10/3; 10/3; 16/5; 16/5; 16/5; 10/3; 10/3; 16/5; 10/3; 16/5; 11/4; 16/5; 16/5; 16/5; 7/2; 16/5; 16/5; 29/10; 3; 16/5; 69/20; 57/17; 3; 16/5; 3; ; 10/11; 10/3; 
Monaco; 4; 7/2; 37/10; 7/2; 19/5; 19/5; 15/4; 7/2; 7/2; 7/2; 4; 7/2; 4; 4; 7/2; 7/2; 50/13; 18/5; 4; 50/13; 41/10; 7/2; 4; 15/4; 4; ; 7/2; 7/2; 
META; champions-league/borussia-dortmund-v-monaco; 2017-04-07 06:15:00 GMT+3; 2017-04-11 19:45; Nothing; Xlenovo
Borussia Dortmund; 8/13; 8/13; 13/20; 4/6; 4/6; 4/6; 13/20; 4/6; 8/13; 13/20; 4/6; 4/6; 8/13; 13/20; 13/20; 4/6; 11/17; 4/6; 8/13; 11/17; 17/25; 4/6; 11/17; 8/13; 11/17; ; 4/6; 8/13; 4/6
Draw; 10/3; 10/3; 16/5; 16/5; 16/5; 10/3; 10/3; 16/5; 10/3; 16/5; 11/4; 16/5; 16/5; 16/5; 7/2; 16/5; 16/5; 29/10; 3; 16/5; 69/20; 57/17; 3; 16/5; 3; ; 5/6; 10/3; 
Monaco; 4; 7/2; 37/10; 7/2; 19/5; 19/5; 15/4; 7/2; 7/2; 7/2; 4; 7/2; 4; 4; 7/2; 7/2; 19/5; 18/5; 4; 19/5; 41/10; 7/2; 4; 15/4; 4; ; 7/2; 7/2; 
META; champions-league/borussia-dortmund-v-monaco; 2017-04-07 10:15:00 GMT+3; 2017-04-11 19:45; Nothing; Xlenovo
Borussia Dortmund; 8/13; 8/13; 13/20; 4/6; 4/6; 4/6; 13/20; 4/6; 8/13; 13/20; 4/6; 4/6; 13/20; 13/20; 13/20; 4/6; 11/17; 4/6; 8/13; 11/17; 17/25; 4/6; 11/17; 8/13; 11/17; ; 8/13; 4/6; 4/6
Draw; 10/3; 10/3; 16/5; 16/5; 16/5; 10/3; 10/3; 16/5; 10/3; 16/5; 11/4; 16/5; 16/5; 16/5; 7/2; 16/5; 16/5; 29/10; 3; 16/5; 69/20; 57/17; 3; 16/5; 3; ; 7/2; 7/2; 
Monaco; 4; 7/2; 37/10; 7/2; 19/5; 15/4; 15/4; 7/2; 7/2; 7/2; 4; 7/2; 15/4; 4; 7/2; 7/2; 19/5; 18/5; 4; 19/5; 41/10; 7/2; 4; 15/4; 4; ; 7/2; 7/2; 
META; champions-league/borussia-dortmund-v-monaco; 2017-04-07 14:15:01 GMT+3; 2017-04-11 19:45; Nothing; Xlenovo
Borussia Dortmund; 8/13; 8/13; 13/20; 4/6; 4/6; 4/6; 13/20; 4/6; 8/13; 13/20; 4/6; 4/6; 13/20; 13/20; 13/20; 4/6; 11/17; 4/6; 8/13; 11/17; 17/25; 4/6; 11/17; 8/13; 11/17; ; 1; 4/6; 4/6
Draw; 10/3; 10/3; 16/5; 16/5; 16/5; 10/3; 10/3; 16/5; 10/3; 16/5; 11/4; 16/5; 16/5; 16/5; 7/2; 16/5; 16/5; 29/10; 3; 16/5; 69/20; 57/17; 3; 16/5; 3; ; 10/11; 7/2; 
Monaco; 4; 10/3; 37/10; 7/2; 19/5; 15/4; 15/4; 7/2; 7/2; 7/2; 4; 7/2; 15/4; 4; 7/2; 7/2; 19/5; 18/5; 4; 19/5; 41/10; 7/2; 4; 15/4; 4; ; 4/7; 7/2; 
META; champions-league/borussia-dortmund-v-monaco; 2017-04-07 18:15:00 GMT+3; 2017-04-11 19:45; Nothing; Xlenovo
Borussia Dortmund; 8/13; 8/13; 13/20; 4/6; 4/6; 4/6; 13/20; 4/6; 8/13; 13/20; 4/6; 4/6; 13/20; 13/20; 13/20; 4/6; 11/17; 4/6; 8/13; 11/17; 17/25; 4/6; 11/17; 8/13; 11/17; ; 8/13; 8/13; 4/6
Draw; 10/3; 10/3; 16/5; 16/5; 16/5; 10/3; 10/3; 16/5; 10/3; 16/5; 11/4; 16/5; 16/5; 16/5; 7/2; 16/5; 16/5; 29/10; 3; 16/5; 69/20; 57/17; 3; 16/5; 3; ; 10/11; 7/2; 
Monaco; 4; 10/3; 37/10; 7/2; 19/5; 15/4; 15/4; 7/2; 7/2; 7/2; 4; 7/2; 15/4; 4; 7/2; 7/2; 19/5; 18/5; 4; 19/5; 41/10; 7/2; 4; 15/4; 4; ; 7/2; 7/2; 
META; champions-league/borussia-dortmund-v-monaco; 2017-04-07 22:15:00 GMT+3; 2017-04-11 19:45; Nothing; Xlenovo
Borussia Dortmund; 8/13; 8/13; 13/20; 4/6; 4/6; 4/6; 13/20; 4/6; 8/13; 13/20; 4/6; 4/6; 13/20; 13/20; 13/20; 4/6; 11/17; 4/6; 8/13; 4/6; 17/25; 4/6; 11/17; 8/13; 11/17; ; 4/6; 4/6; 4/6
Draw; 10/3; 10/3; 16/5; 16/5; 16/5; 10/3; 10/3; 16/5; 10/3; 16/5; 11/4; 16/5; 16/5; 10/3; 7/2; 16/5; 16/5; 29/10; 3; 13/4; 69/20; 57/17; 3; 16/5; 3; ; 10/3; 10/3; 
Monaco; 4; 7/2; 37/10; 7/2; 19/5; 15/4; 15/4; 7/2; 7/2; 7/2; 4; 7/2; 15/4; 19/5; 7/2; 7/2; 19/5; 18/5; 4; 39/10; 41/10; 7/2; 4; 15/4; 4; ; 7/2; 10/3; 
META; champions-league/borussia-dortmund-v-monaco; 2017-04-08 02:15:01 GMT+3; 2017-04-11 19:45; Nothing; Xlenovo
Borussia Dortmund; 8/13; 8/13; 13/20; 4/6; 4/6; 4/6; 13/20; 4/6; 8/13; 13/20; 4/6; 4/6; 13/20; 13/20; 13/20; 4/6; ; 4/6; 8/13; 11/17; 17/25; 4/6; 11/17; 8/13; 11/17; ; 1; 4/6; 4/6
Draw; 10/3; 10/3; 16/5; 16/5; 16/5; 10/3; 17/5; 16/5; 10/3; 16/5; 11/4; 16/5; 16/5; 10/3; 7/2; 16/5; ; 29/10; 3; 33/10; 69/20; 57/17; 3; 16/5; 3; ; 10/3; 10/3; 
Monaco; 4; 7/2; 37/10; 7/2; 19/5; 15/4; 15/4; 7/2; 7/2; 7/2; 4; 7/2; 15/4; 19/5; 7/2; 7/2; ; 18/5; 4; 50/13; 41/10; 7/2; 4; 15/4; 4; ; 4/7; 7/2; 
META; champions-league/borussia-dortmund-v-monaco; 2017-04-08 06:15:02 GMT+3; 2017-04-11 19:45; Nothing; Xlenovo
Borussia Dortmund; 8/13; 8/13; 13/20; 4/6; 4/6; 4/6; 13/20; 4/6; 8/13; 13/20; 4/6; 4/6; 13/20; 13/20; 13/20; 4/6; 4/6; 4/6; 8/13; 11/17; 17/25; 4/6; 11/17; 8/13; 11/17; ; 1; 8/13; 4/6
Draw; 10/3; 10/3; 16/5; 16/5; 16/5; 10/3; 17/5; 16/5; 10/3; 16/5; 11/4; 16/5; 16/5; 10/3; 7/2; 16/5; 13/4; 29/10; 3; 33/10; 69/20; 57/17; 3; 16/5; 3; ; 10/3; 3; 
Monaco; 4; 7/2; 37/10; 7/2; 19/5; 15/4; 15/4; 7/2; 7/2; 7/2; 4; 7/2; 15/4; 19/5; 7/2; 7/2; 39/10; 18/5; 4; 50/13; 41/10; 7/2; 4; 15/4; 4; ; 4/7; 7/2; 
META; champions-league/borussia-dortmund-v-monaco; 2017-04-08 10:15:01 GMT+3; 2017-04-11 19:45; Nothing; Xlenovo
Borussia Dortmund; 8/13; 8/13; 13/20; 4/6; 4/6; 4/6; 13/20; 4/6; 8/13; 13/20; 4/6; 4/6; 13/20; 13/20; 13/20; 4/6; 4/6; 4/6; 8/13; 4/6; 17/25; 4/6; 11/17; 8/13; 11/17; ; 4/6; 4/6; 4/6
Draw; 10/3; 10/3; 16/5; 16/5; 16/5; 10/3; 17/5; 16/5; 10/3; 16/5; 11/4; 16/5; 16/5; 10/3; 7/2; 16/5; 33/10; 29/10; 3; 33/10; 69/20; 57/17; 3; 16/5; 3; ; 10/11; 10/3; 
Monaco; 4; 7/2; 37/10; 7/2; 19/5; 15/4; 15/4; 7/2; 7/2; 7/2; 4; 7/2; 15/4; 19/5; 7/2; 7/2; 50/13; 18/5; 4; 50/13; 41/10; 7/2; 4; 15/4; 4; ; 7/2; 7/2; 
META; champions-league/borussia-dortmund-v-monaco; 2017-04-08 14:15:01 GMT+3; 2017-04-11 19:45; Nothing; Xlenovo
Borussia Dortmund; 8/13; 8/13; 13/20; 4/6; 4/6; 4/6; 13/20; 4/6; 8/13; 13/20; 4/6; 4/6; 13/20; 13/20; 13/20; 4/6; 4/6; 4/6; 8/13; 11/17; 17/25; 4/6; 11/17; 8/13; 11/17; ; 1; 4/6; 4/6
Draw; 10/3; 10/3; 16/5; 16/5; 16/5; 10/3; 17/5; 16/5; 10/3; 16/5; 11/4; 16/5; 16/5; 10/3; 7/2; 16/5; 13/4; 29/10; 3; 33/10; 69/20; 57/17; 3; 16/5; 3; ; 10/3; 10/3; 
Monaco; 4; 7/2; 37/10; 7/2; 19/5; 15/4; 15/4; 7/2; 7/2; 7/2; 4; 7/2; 15/4; 19/5; 7/2; 7/2; 50/13; 18/5; 4; 50/13; 41/10; 7/2; 4; 15/4; 4; ; 7/2; 7/2; 
META; champions-league/borussia-dortmund-v-monaco; 2017-04-08 18:15:02 GMT+3; 2017-04-11 19:45; Nothing; Xlenovo
Borussia Dortmund; 8/13; 8/13; 13/20; 4/6; 4/6; 4/6; 13/20; 4/6; 8/13; 13/20; 4/6; 4/6; 13/20; 13/20; 13/20; 4/6; 4/6; 4/6; 8/13; 4/6; 17/25; 4/6; 11/17; 8/13; 11/17; ; 1; 4/6; 4/6
Draw; 10/3; 10/3; 16/5; 16/5; 16/5; 10/3; 17/5; 16/5; 10/3; 16/5; 11/4; 16/5; 16/5; 10/3; 7/2; 16/5; 13/4; 29/10; 3; 13/4; 69/20; 57/17; 3; 16/5; 3; ; 10/3; 10/3; 10/3
Monaco; 4; 15/4; 37/10; 7/2; 19/5; 15/4; 15/4; 7/2; 7/2; 7/2; 4; 7/2; 15/4; 19/5; 7/2; 7/2; 39/10; 18/5; 4; 39/10; 41/10; 7/2; 4; 15/4; 4; ; 7/2; 7/2; 7/2
META; champions-league/borussia-dortmund-v-monaco; 2017-04-08 22:15:00 GMT+3; 2017-04-11 19:45; Nothing; Xlenovo
Borussia Dortmund; 8/13; 8/13; 7/10; 4/6; 4/6; 7/10; 7/10; 4/6; 4/6; 4/6; 4/6; 4/6; 13/20; 7/10; 13/20; 4/6; 9/13; 4/6; 8/13; 9/13; 17/25; ; 11/17; 4/6; 11/17; ; 4/6; 4/6; 4/6
Draw; 10/3; 10/3; 16/5; 16/5; 16/5; 10/3; 17/5; 16/5; 10/3; 3; 11/4; 10/3; 16/5; 10/3; 7/2; 16/5; 16/5; 29/10; 3; 16/5; 69/20; ; 3; 3; 3; ; 3; 3; 3
Monaco; 4; 15/4; 7/2; 7/2; 19/5; 37/10; 10/3; 7/2; 7/2; 7/2; 4; 10/3; 15/4; 18/5; 7/2; 7/2; 19/5; 18/5; 4; 19/5; 41/10; ; 4; 7/2; 4; ; 4/7; 7/2; 7/2
META; champions-league/borussia-dortmund-v-monaco; 2017-04-09 02:15:00 GMT+3; 2017-04-11 19:45; Nothing; Xlenovo
Borussia Dortmund; 8/13; 4/6; 7/10; 4/6; 4/6; 7/10; 13/20; 4/6; 4/6; 4/6; 7/10; 4/6; 13/20; 4/6; 13/20; 4/6; 4/6; 4/6; 8/13; 4/6; 17/25; 7/10; 11/17; 4/6; 11/17; ; 1; 4/6; 4/6
Draw; 10/3; 10/3; 16/5; 16/5; 16/5; 10/3; 17/5; 16/5; 10/3; 3; 10/3; 16/5; 16/5; 10/3; 7/2; 10/3; 16/5; 29/10; 3; 16/5; 69/20; 17/5; 3; 3; 3; ; 3; 3; 3
Monaco; 4; 10/3; 18/5; 7/2; 19/5; 18/5; 18/5; 7/2; 7/2; 7/2; 15/4; 7/2; 15/4; 15/4; 7/2; 7/2; 19/5; 18/5; 4; 19/5; 41/10; 13/4; 4; 15/4; 4; ; 4/7; 7/2; 7/2
META; champions-league/borussia-dortmund-v-monaco; 2017-04-09 06:15:01 GMT+3; 2017-04-11 19:45; Nothing; Xlenovo
Borussia Dortmund; 8/13; 4/6; 4/6; 4/6; 4/6; 7/10; 13/20; 4/6; 4/6; 4/6; 7/10; 4/6; 13/20; 4/6; 13/20; 4/6; 9/13; 4/6; 8/13; 9/13; 17/25; 7/10; 11/17; 4/6; 11/17; ; 4/6; 4/6; 4/6
Draw; 10/3; 10/3; 16/5; 16/5; 16/5; 10/3; 17/5; 16/5; 10/3; 3; 10/3; 16/5; 16/5; 10/3; 7/2; 10/3; 16/5; 29/10; 3; 16/5; 69/20; 17/5; 3; 3; 3; ; 10/11; 3; 3
Monaco; 4; 10/3; 18/5; 7/2; 19/5; 18/5; 18/5; 7/2; 7/2; 7/2; 15/4; 7/2; 15/4; 19/5; 7/2; 7/2; 19/5; 18/5; 4; 19/5; 41/10; 13/4; 4; 15/4; 4; ; 7/2; 10/3; 7/2
META; champions-league/borussia-dortmund-v-monaco; 2017-04-09 10:15:03 GMT+3; 2017-04-11 19:45; Nothing; Xlenovo
Borussia Dortmund; 8/13; 4/6; 4/6; 4/6; 4/6; 7/10; 13/20; 4/6; 4/6; 4/6; 7/10; 4/6; 13/20; 4/6; 13/20; 4/6; 9/13; 4/6; 8/13; 9/13; 17/25; 7/10; 11/17; 4/6; 11/17; ; 1; 4/6; 4/6
Draw; 10/3; 10/3; 16/5; 16/5; 16/5; 10/3; 17/5; 16/5; 10/3; 3; 10/3; 16/5; 16/5; 10/3; 7/2; 10/3; 16/5; 29/10; 3; 16/5; 69/20; 17/5; 3; 3; 3; ; 3; 3; 3
Monaco; 4; 10/3; 18/5; 7/2; 19/5; 18/5; 18/5; 7/2; 7/2; 7/2; 15/4; 7/2; 15/4; 19/5; 7/2; 7/2; 50/13; 18/5; 4; 50/13; 41/10; 13/4; 4; 15/4; 4; ; 4/7; 10/3; 7/2
META; champions-league/borussia-dortmund-v-monaco; 2017-04-09 14:15:05 GMT+3; 2017-04-11 19:45; Nothing; Xlenovo
Borussia Dortmund; 13/20; 4/6; 8/11; 4/6; 4/6; 7/10; 4/6; 4/6; 4/6; 4/6; 7/10; 4/6; 4/6; 7/10; 13/20; 4/6; 9/13; 4/6; 4/6; 9/13; 17/25; 9/13; 13/19; 4/6; 13/19; ; 4/6; 4/6; 4/6
Draw; 10/3; 10/3; 10/3; 16/5; 16/5; 10/3; 17/5; 16/5; 10/3; 3; 10/3; 16/5; 16/5; 16/5; 7/2; 10/3; 16/5; 29/10; 3; 16/5; 69/20; 33/10; 3; 3; 3; ; 3; 3; 3
Monaco; 15/4; 10/3; 18/5; 7/2; 18/5; 18/5; 7/2; 7/2; 7/2; 7/2; 15/4; 7/2; 7/2; 15/4; 7/2; 7/2; 37/10; 18/5; 7/2; 37/10; 41/10; 57/17; 15/4; 7/2; 15/4; ; 7/2; 7/2; 7/2
META; champions-league/borussia-dortmund-v-monaco; 2017-04-09 18:15:01 GMT+3; 2017-04-11 19:45; Nothing; Xlenovo
Borussia Dortmund; 13/20; 4/6; 8/11; 4/6; 4/6; 7/10; 4/6; 4/6; 4/6; 4/6; ; 4/6; 4/6; 7/10; 13/20; 4/6; 9/13; 4/6; 4/6; 9/13; 17/25; 9/13; 13/19; 4/6; 13/19; ; 4/6; 4/6; 4/6
Draw; 10/3; 10/3; 10/3; 16/5; 16/5; 10/3; 17/5; 10/3; 10/3; 3; ; 16/5; 16/5; 16/5; 7/2; 10/3; 16/5; 29/10; 3; 16/5; 69/20; 33/10; 3; 3; 3; ; 3; 3; 3
