META; english/premier-league/everton-v-stoke; 2017-06-15 14:15:11 GMT+3; 2017-08-12 15:00; Nothing; Xlenovo
Everton; 4/6; 4/6; 8/11; 4/6; 4/6; 13/20; 3/4; 4/6; ; 4/7; 8/13; 3/4; 7/10; 4/6; 3/4; 4/6; 5/7; 4/6; 4/6; 5/7; 19/25; 13/17; 13/18; 4/6; 13/18; ; 4/9; ; 
Stoke; 9/2; 18/5; 19/5; 7/2; 7/2; 9/2; 17/4; 4; ; 18/5; 18/5; 7/2; 4; 4; 15/4; 15/4; 50/13; 4; 7/2; 50/13; 22/5; 39/10; 37/10; 7/2; 15/4; ; 7/5; ; 
META; english/premier-league/everton-v-stoke; 2017-07-02 02:26:56 GMT+3; 2017-08-12 15:00; Nothing; Xlenovo
Everton; 4/6; 7/10; 8/11; 4/6; 4/6; 13/20; 8/11; 4/6; ; 7/10; 7/10; 8/11; 4/6; 4/6; 3/4; 7/10; 5/7; 4/6; 4/6; 5/7; 3/4; 5/7; 13/18; 4/5; 13/18; ; 2/15; ; 
Draw; 5/2; 13/5; 11/4; 13/5; 11/4; 5/2; 14/5; 5/2; ; 13/5; 13/5; 14/5; 27/10; 5/2; 11/4; 13/5; 27/10; 27/10; 11/4; 27/10; 29/10; 37/13; 11/4; 11/4; 11/4; ; 2; ; 
Stoke; 9/2; 18/5; 19/5; 7/2; 7/2; 9/2; 17/4; 4; ; 18/5; 18/5; 7/2; 4; 4; 15/4; 15/4; 50/13; 4; 7/2; 50/13; 22/5; 39/10; 37/10; 7/2; 15/4; ; 7/5; ; 
META; english/premier-league/everton-v-stoke; 2017-07-02 10:21:19 GMT+3; 2017-08-12 15:00; Nothing; Xlenovo
Everton; 4/6; 7/10; 8/11; 4/6; 4/6; 13/20; 8/11; 4/6; ; 7/10; 7/10; 8/11; 4/6; 4/6; 3/4; 7/10; 5/7; 4/6; 4/6; 5/7; 3/4; 5/7; 13/18; 4/5; 13/18; ; 2/15; ; 
Draw; 5/2; 13/5; 11/4; 13/5; 11/4; 5/2; 14/5; 5/2; ; 13/5; 13/5; 14/5; 27/10; 5/2; 11/4; 13/5; 27/10; 27/10; 11/4; 27/10; 29/10; 37/13; 11/4; 11/4; 11/4; ; 2; ; 
Stoke; 9/2; 18/5; 19/5; 7/2; 7/2; 9/2; 17/4; 4; ; 18/5; 18/5; 7/2; 4; 4; 15/4; 15/4; 50/13; 4; 7/2; 50/13; 22/5; 39/10; 37/10; 7/2; 15/4; ; 7/5; ; 
META; english/premier-league/everton-v-stoke; 2017-07-02 10:26:51 GMT+3; 2017-08-12 15:00; Nothing; Xlenovo
Everton; 4/6; 7/10; 8/11; 4/6; 4/6; 13/20; 8/11; 4/6; ; 7/10; 7/10; 8/11; 4/6; 4/6; 3/4; 7/10; 5/7; 4/6; 4/6; 5/7; 3/4; 5/7; 13/18; 4/5; 13/18; ; 2/15; ; 
Draw; 5/2; 13/5; 11/4; 13/5; 11/4; 5/2; 14/5; 5/2; ; 13/5; 13/5; 14/5; 27/10; 5/2; 11/4; 13/5; 27/10; 27/10; 11/4; 27/10; 29/10; 37/13; 11/4; 11/4; 11/4; ; 2; ; 
Stoke; 9/2; 18/5; 19/5; 7/2; 7/2; 9/2; 17/4; 4; ; 18/5; 18/5; 7/2; 4; 4; 15/4; 15/4; 50/13; 4; 7/2; 50/13; 22/5; 39/10; 37/10; 7/2; 15/4; ; 7/5; ; 
META; english/premier-league/everton-v-stoke; 2017-07-02 14:21:43 GMT+3; 2017-08-12 15:00; Nothing; Xlenovo
Everton; 4/6; 7/10; 8/11; 4/6; 4/6; 13/20; 8/11; 4/6; ; 7/10; 7/10; 8/11; 4/6; 4/6; 3/4; 7/10; 5/7; 4/6; 4/6; 5/7; 3/4; 5/7; 13/18; 4/5; 13/18; ; 2/15; ; 
Draw; 5/2; 13/5; 11/4; 13/5; 11/4; 5/2; 14/5; 5/2; ; 13/5; 13/5; 14/5; 27/10; 5/2; 11/4; 13/5; 27/10; 27/10; 11/4; 27/10; 29/10; 37/13; 11/4; 11/4; 11/4; ; 2; ; 
Stoke; 9/2; 18/5; 19/5; 7/2; 7/2; 9/2; 17/4; 4; ; 18/5; 18/5; 7/2; 4; 4; 15/4; 15/4; 50/13; 4; 7/2; 50/13; 22/5; 39/10; 37/10; 7/2; 15/4; ; 7/5; ; 
META; english/premier-league/everton-v-stoke; 2017-07-02 14:27:29 GMT+3; 2017-08-12 15:00; Nothing; Xlenovo
Everton; 4/6; 7/10; 8/11; 4/6; 4/6; 13/20; 8/11; 4/6; ; 7/10; 7/10; 8/11; 4/6; 4/6; 3/4; 7/10; 5/7; 4/6; 4/6; 5/7; 3/4; 5/7; 13/18; 4/5; 13/18; ; 2/15; ; 
Draw; 5/2; 13/5; 11/4; 13/5; 11/4; 5/2; 14/5; 5/2; ; 13/5; 13/5; 14/5; 27/10; 5/2; 11/4; 13/5; 27/10; 27/10; 11/4; 27/10; 29/10; 37/13; 11/4; 11/4; 11/4; ; 2; ; 
Stoke; 9/2; 18/5; 19/5; 7/2; 7/2; 9/2; 17/4; 4; ; 18/5; 18/5; 7/2; 4; 4; 15/4; 15/4; 50/13; 4; 7/2; 50/13; 22/5; 39/10; 37/10; 7/2; 15/4; ; 7/5; ; 
META; english/premier-league/everton-v-stoke; 2017-07-02 18:21:56 GMT+3; 2017-08-12 15:00; Nothing; Xlenovo
Everton; 4/6; 7/10; 8/11; 4/6; 4/6; 13/20; 8/11; 4/6; ; 7/10; 7/10; 8/11; 4/6; 4/6; 3/4; 7/10; 5/7; 4/6; 4/6; 5/7; 3/4; 5/7; 13/18; 4/5; 13/18; ; 2/15; ; 
Draw; 5/2; 13/5; 11/4; 13/5; 11/4; 5/2; 14/5; 5/2; ; 13/5; 13/5; 14/5; 27/10; 5/2; 11/4; 13/5; 27/10; 27/10; 11/4; 27/10; 29/10; 37/13; 11/4; 11/4; 11/4; ; 2; ; 
Stoke; 9/2; 18/5; 19/5; 7/2; 7/2; 9/2; 17/4; 4; ; 18/5; 18/5; 7/2; 4; 4; 15/4; 15/4; 50/13; 4; 7/2; 50/13; 22/5; 39/10; 37/10; 7/2; 15/4; ; 7/5; ; 
META; english/premier-league/everton-v-stoke; 2017-07-02 18:27:36 GMT+3; 2017-08-12 15:00; Nothing; Xlenovo
Everton; 4/6; 7/10; 8/11; 4/6; 4/6; 13/20; 8/11; 4/6; ; 7/10; 7/10; 8/11; 4/6; 4/6; 3/4; 7/10; 5/7; 4/6; 4/6; 5/7; 3/4; 5/7; 13/18; 4/5; 13/18; ; 2/15; ; 
Draw; 5/2; 13/5; 11/4; 13/5; 11/4; 5/2; 14/5; 5/2; ; 13/5; 13/5; 14/5; 27/10; 5/2; 11/4; 13/5; 27/10; 27/10; 11/4; 27/10; 29/10; 37/13; 11/4; 11/4; 11/4; ; 2; ; 
Stoke; 9/2; 18/5; 19/5; 7/2; 7/2; 9/2; 17/4; 4; ; 18/5; 18/5; 7/2; 4; 4; 15/4; 15/4; 50/13; 4; 7/2; 50/13; 22/5; 39/10; 37/10; 7/2; 15/4; ; 7/5; ; 
META; english/premier-league/everton-v-stoke; 2017-07-02 22:21:53 GMT+3; 2017-08-12 15:00; Nothing; Xlenovo
Everton; 4/6; 7/10; 8/11; 4/6; 4/6; 13/20; 8/11; 4/6; ; 7/10; 7/10; 8/11; 4/6; 4/6; 3/4; 7/10; 5/7; 4/6; 4/6; 5/7; 3/4; 5/7; 13/18; 4/5; 13/18; ; 2/15; ; 
Draw; 5/2; 13/5; 11/4; 13/5; 11/4; 5/2; 14/5; 5/2; ; 13/5; 13/5; 14/5; 27/10; 5/2; 11/4; 13/5; 27/10; 27/10; 11/4; 27/10; 29/10; 37/13; 11/4; 11/4; 11/4; ; 2; ; 
Stoke; 9/2; 18/5; 19/5; 7/2; 7/2; 9/2; 17/4; 4; ; 18/5; 18/5; 7/2; 4; 4; 15/4; 15/4; 50/13; 4; 7/2; 50/13; 22/5; 39/10; 37/10; 7/2; 15/4; ; 7/5; ; 
META; english/premier-league/everton-v-stoke; 2017-07-02 22:27:34 GMT+3; 2017-08-12 15:00; Nothing; Xlenovo
Everton; 4/6; 7/10; 8/11; 4/6; 4/6; 13/20; 8/11; 4/6; ; 7/10; 7/10; 8/11; 4/6; 4/6; 3/4; 7/10; 5/7; 4/6; 4/6; 5/7; 3/4; 5/7; 13/18; 4/5; 13/18; ; 2/15; ; 
Draw; 5/2; 13/5; 11/4; 13/5; 11/4; 5/2; 14/5; 5/2; ; 13/5; 13/5; 14/5; 27/10; 5/2; 11/4; 13/5; 27/10; 27/10; 11/4; 27/10; 29/10; 37/13; 11/4; 11/4; 11/4; ; 2; ; 
Stoke; 9/2; 18/5; 19/5; 7/2; 7/2; 9/2; 17/4; 4; ; 18/5; 18/5; 7/2; 4; 4; 15/4; 15/4; 50/13; 4; 7/2; 50/13; 22/5; 39/10; 37/10; 7/2; 15/4; ; 7/5; ; 
META; english/premier-league/everton-v-stoke; 2017-07-03 02:21:47 GMT+3; 2017-08-12 15:00; Nothing; Xlenovo
Everton; 4/6; 7/10; 8/11; 4/6; 4/6; 13/20; 8/11; 4/6; ; 7/10; 7/10; 8/11; 4/6; 4/6; 3/4; 7/10; 5/7; 4/6; 4/6; 5/7; 3/4; 5/7; 13/18; 4/5; 13/18; ; 2/15; ; 
Draw; 5/2; 13/5; 11/4; 13/5; 11/4; 5/2; 14/5; 5/2; ; 13/5; 13/5; 14/5; 27/10; 5/2; 11/4; 13/5; 27/10; 27/10; 11/4; 27/10; 29/10; 37/13; 11/4; 11/4; 11/4; ; 2; ; 
Stoke; 9/2; 18/5; 19/5; 7/2; 7/2; 9/2; 17/4; 4; ; 18/5; 18/5; 7/2; 4; 4; 15/4; 15/4; 50/13; 4; 7/2; 50/13; 22/5; 39/10; 37/10; 7/2; 15/4; ; 7/5; ; 
META; english/premier-league/everton-v-stoke; 2017-07-03 02:27:24 GMT+3; 2017-08-12 15:00; Nothing; Xlenovo
Everton; 4/6; 7/10; 8/11; 4/6; 4/6; 13/20; 8/11; 4/6; ; 7/10; 7/10; 8/11; 4/6; 4/6; 3/4; 7/10; 5/7; 4/6; 4/6; 5/7; 3/4; 5/7; 13/18; 4/5; 13/18; ; 2/15; ; 
Draw; 5/2; 13/5; 11/4; 13/5; 11/4; 5/2; 14/5; 5/2; ; 13/5; 13/5; 14/5; 27/10; 5/2; 11/4; 13/5; 27/10; 27/10; 11/4; 27/10; 29/10; 37/13; 11/4; 11/4; 11/4; ; 2; ; 
Stoke; 9/2; 18/5; 19/5; 7/2; 7/2; 9/2; 17/4; 4; ; 18/5; 18/5; 7/2; 4; 4; 15/4; 15/4; 50/13; 4; 7/2; 50/13; 22/5; 39/10; 37/10; 7/2; 15/4; ; 7/5; ; 
META; english/premier-league/everton-v-stoke; 2017-07-03 10:21:50 GMT+3; 2017-08-12 15:00; Nothing; Xlenovo
Everton; 4/6; 7/10; 8/11; 4/6; 4/6; 13/20; 8/11; 4/6; ; 7/10; 7/10; 8/11; 4/6; 4/6; 3/4; 7/10; 5/7; 4/6; 4/6; 5/7; 3/4; 5/7; 13/18; 4/5; 13/18; ; 2/15; ; 
Draw; 5/2; 13/5; 11/4; 13/5; 11/4; 5/2; 14/5; 5/2; ; 13/5; 13/5; 14/5; 27/10; 5/2; 11/4; 13/5; 27/10; 27/10; 11/4; 27/10; 29/10; 37/13; 11/4; 11/4; 11/4; ; 2; ; 
Stoke; 9/2; 18/5; 19/5; 7/2; 7/2; 9/2; 17/4; 4; ; 18/5; 18/5; 7/2; 4; 4; 15/4; 15/4; 50/13; 4; 7/2; 50/13; 22/5; 39/10; 37/10; 7/2; 15/4; ; 19/10; ; 
META; english/premier-league/everton-v-stoke; 2017-07-03 10:27:31 GMT+3; 2017-08-12 15:00; Nothing; Xlenovo
Everton; 4/6; 7/10; 8/11; 4/6; 4/6; 13/20; 8/11; 4/6; ; 7/10; 7/10; 8/11; 4/6; 4/6; 3/4; 7/10; 5/7; 4/6; 4/6; 5/7; 3/4; 5/7; 13/18; 4/5; 13/18; ; 2/15; ; 
Draw; 5/2; 13/5; 11/4; 13/5; 11/4; 5/2; 14/5; 5/2; ; 13/5; 13/5; 14/5; 27/10; 5/2; 11/4; 13/5; 27/10; 27/10; 11/4; 27/10; 29/10; 37/13; 11/4; 11/4; 11/4; ; 2; ; 
Stoke; 9/2; 18/5; 19/5; 7/2; 7/2; 9/2; 17/4; 4; ; 18/5; 18/5; 7/2; 4; 4; 15/4; 15/4; 50/13; 4; 7/2; 50/13; 22/5; 39/10; 37/10; 7/2; 15/4; ; 19/10; ; 
META; english/premier-league/everton-v-stoke; 2017-07-03 14:22:40 GMT+3; 2017-08-12 15:00; Nothing; Xlenovo
Everton; 4/6; 7/10; 8/11; 4/6; 4/6; 13/20; 8/11; 4/6; ; 7/10; 7/10; 8/11; 4/6; 4/6; 3/4; 7/10; 5/7; 4/6; 4/6; 5/7; 3/4; 5/7; 13/18; 4/5; 13/18; ; 4/6; ; 
Draw; 5/2; 13/5; 11/4; 13/5; 11/4; 5/2; 14/5; 5/2; ; 13/5; 13/5; 14/5; 27/10; 5/2; 11/4; 13/5; 27/10; 27/10; 11/4; 27/10; 29/10; 37/13; 11/4; 11/4; 11/4; ; 2; ; 
Stoke; 9/2; 18/5; 19/5; 7/2; 7/2; 9/2; 17/4; 4; ; 18/5; 18/5; 7/2; 4; 4; 15/4; 15/4; 19/5; 4; 7/2; 19/5; 22/5; 39/10; 37/10; 7/2; 15/4; ; 19/10; ; 
META; english/premier-league/everton-v-stoke; 2017-07-03 18:22:17 GMT+3; 2017-08-12 15:00; Nothing; Xlenovo
Everton; 4/6; 7/10; 8/11; 4/6; 4/6; 13/20; 8/11; 4/6; 13/18; 7/10; 7/10; 8/11; 4/6; 4/6; 3/4; 7/10; 4/6; 4/6; 5/7; 3/4; 5/7; 13/18; 4/5; ; ; ; 4/6; ; 
Draw; 5/2; 13/5; 11/4; 13/5; 11/4; 5/2; 14/5; 5/2; 11/4; 13/5; 13/5; 14/5; 27/10; 5/2; 11/4; 13/5; 27/10; 11/4; 27/10; 141/50; 37/13; 11/4; 11/4; ; ; ; 2; ; 
Stoke; 9/2; 18/5; 19/5; 7/2; 7/2; 9/2; 17/4; 4; 15/4; 18/5; 18/5; 7/2; 4; 4; 15/4; 15/4; 4; 7/2; 50/13; 9/2; 39/10; 37/10; 7/2; ; ; ; 19/10; ; 
META; english/premier-league/everton-v-stoke; 2017-07-03 22:21:58 GMT+3; 2017-08-12 15:00; Nothing; Xlenovo
Everton; 4/6; 7/10; 8/11; 4/6; 4/6; 13/20; 8/11; 4/6; 13/18; 7/10; 7/10; 8/11; 4/6; 4/6; 3/4; 7/10; 4/6; 4/6; 5/7; 3/4; 5/7; 13/18; 4/5; ; ; ; 4/6; ; 
Draw; 5/2; 13/5; 11/4; 13/5; 11/4; 5/2; 14/5; 5/2; 11/4; 13/5; 13/5; 14/5; 27/10; 5/2; 11/4; 13/5; 27/10; 11/4; 27/10; 141/50; 37/13; 11/4; 11/4; ; ; ; 21/10; ; 
Stoke; 9/2; 18/5; 19/5; 7/2; 7/2; 9/2; 17/4; 4; 15/4; 18/5; 18/5; 7/2; 4; 4; 15/4; 15/4; 4; 7/2; 19/5; 9/2; 39/10; 37/10; 7/2; ; ; ; 19/10; ; 
META; english/premier-league/everton-v-stoke; 2017-07-04 02:22:06 GMT+3; 2017-08-12 15:00; Nothing; Xlenovo
Everton; 4/6; 7/10; 8/11; 4/6; 4/6; 13/20; 8/11; 4/6; 13/18; 7/10; 7/10; 8/11; 4/6; 4/6; 3/4; 7/10; 4/6; 4/6; 5/7; 3/4; 5/7; 13/18; 4/5; ; ; ; 4/6; ; 
Draw; 5/2; 13/5; 11/4; 13/5; 11/4; 5/2; 14/5; 5/2; 11/4; 13/5; 13/5; 14/5; 27/10; 5/2; 11/4; 13/5; 27/10; 11/4; 27/10; 141/50; 37/13; 11/4; 11/4; ; ; ; 21/10; ; 
Stoke; 9/2; 18/5; 19/5; 7/2; 7/2; 9/2; 17/4; 4; 15/4; 18/5; 18/5; 7/2; 4; 4; 15/4; 15/4; 4; 7/2; 19/5; 9/2; 39/10; 37/10; 7/2; ; ; ; 19/10; ; 
META; english/premier-league/everton-v-stoke; 2017-07-04 10:22:26 GMT+3; 2017-08-12 15:00; Nothing; Xlenovo
Everton; 4/6; 7/10; 8/11; 4/6; 4/6; 13/20; 8/11; 4/6; 13/18; 7/10; 7/10; 8/11; 4/6; 4/6; 3/4; 7/10; 4/6; 4/6; 5/7; 3/4; 5/7; 13/18; 4/5; ; ; ; 4/6; ; 
Draw; 5/2; 13/5; 11/4; 13/5; 11/4; 5/2; 14/5; 5/2; 11/4; 13/5; 13/5; 14/5; 27/10; 5/2; 11/4; 13/5; 27/10; 11/4; 27/10; 141/50; 37/13; 11/4; 11/4; ; ; ; 21/10; ; 
Stoke; 9/2; 18/5; 19/5; 7/2; 7/2; 9/2; 17/4; 4; 15/4; 18/5; 18/5; 7/2; 4; 4; 15/4; 15/4; 4; 7/2; 19/5; 9/2; 39/10; 37/10; 7/2; ; ; ; 19/10; ; 
META; english/premier-league/everton-v-stoke; 2017-07-04 14:22:50 GMT+3; 2017-08-12 15:00; Nothing; Xlenovo
Everton; 4/6; 7/10; 8/11; 4/6; 4/6; 13/20; 8/11; 4/6; 13/18; 7/10; 7/10; 8/11; 7/10; 4/6; 3/4; 7/10; 4/6; 4/6; 5/7; 3/4; 5/7; 13/18; 4/5; ; ; ; 4/6; ; 
Draw; 5/2; 13/5; 11/4; 13/5; 11/4; 5/2; 14/5; 5/2; 11/4; 13/5; 13/5; 14/5; 27/10; 5/2; 11/4; 13/5; 27/10; 11/4; 27/10; 141/50; 37/13; 11/4; 11/4; ; ; ; 21/10; ; 
Stoke; 9/2; 18/5; 19/5; 7/2; 7/2; 9/2; 17/4; 4; 15/4; 18/5; 18/5; 7/2; 15/4; 4; 15/4; 15/4; 4; 7/2; 19/5; 9/2; 39/10; 37/10; 7/2; ; ; ; 19/10; ; 
META; english/premier-league/everton-v-stoke; 2017-07-04 18:21:27 GMT+3; 2017-08-12 15:00; Nothing; Xlenovo
Everton; 4/6; 8/11; 8/11; 4/6; 4/6; 13/20; 8/11; 4/6; 13/18; 7/10; 7/10; 8/11; 7/10; 4/6; 3/4; 7/10; 4/6; 4/6; 5/7; 3/4; 5/7; 13/18; 4/5; ; ; ; 4/6; ; 
Draw; 5/2; 11/4; 11/4; 13/5; 11/4; 5/2; 14/5; 5/2; 11/4; 13/5; 13/5; 14/5; 27/10; 5/2; 11/4; 13/5; 27/10; 11/4; 27/10; 141/50; 37/13; 11/4; 11/4; ; ; ; 21/10; ; 
Stoke; 9/2; 18/5; 19/5; 7/2; 7/2; 9/2; 17/4; 4; 15/4; 18/5; 18/5; 7/2; 15/4; 4; 15/4; 15/4; 4; 7/2; 19/5; 9/2; 39/10; 37/10; 7/2; ; ; ; 19/10; ; 
META; english/premier-league/everton-v-stoke; 2017-07-04 22:21:28 GMT+3; 2017-08-12 15:00; Nothing; Xlenovo
Everton; 4/6; 8/11; 8/11; 4/6; 4/6; 13/20; 8/11; 4/6; 13/18; 7/10; 7/10; 8/11; 7/10; 4/6; 3/4; 7/10; 4/6; 4/6; 5/7; 3/4; 5/7; 13/18; 4/5; ; ; ; 4/6; ; 
Draw; 5/2; 11/4; 11/4; 13/5; 11/4; 5/2; 14/5; 5/2; 11/4; 13/5; 13/5; 14/5; 27/10; 5/2; 11/4; 13/5; 27/10; 11/4; 27/10; 141/50; 37/13; 11/4; 11/4; ; ; ; 21/10; ; 
Stoke; 9/2; 18/5; 19/5; 7/2; 7/2; 9/2; 17/4; 4; 15/4; 18/5; 18/5; 7/2; 15/4; 4; 15/4; 15/4; 4; 7/2; 50/13; 9/2; 39/10; 37/10; 7/2; ; ; ; 19/10; ; 
META; english/premier-league/everton-v-stoke; 2017-07-05 02:21:14 GMT+3; 2017-08-12 15:00; Nothing; Xlenovo
Everton; 4/6; 8/11; 8/11; 4/6; 4/6; 13/20; 8/11; 4/6; 13/18; 7/10; 7/10; 8/11; 7/10; 4/6; 3/4; 7/10; 4/6; 4/6; 5/7; 3/4; 5/7; 13/18; 4/5; ; ; ; 4/6; ; 
Draw; 5/2; 11/4; 11/4; 13/5; 11/4; 5/2; 14/5; 5/2; 11/4; 13/5; 13/5; 14/5; 27/10; 5/2; 11/4; 13/5; 27/10; 11/4; 27/10; 141/50; 37/13; 11/4; 11/4; ; ; ; 21/10; ; 
Stoke; 9/2; 18/5; 19/5; 7/2; 7/2; 9/2; 17/4; 4; 15/4; 18/5; 18/5; 7/2; 15/4; 4; 15/4; 15/4; 4; 7/2; 50/13; 9/2; 39/10; 37/10; 7/2; ; ; ; 19/10; ; 
META; english/premier-league/everton-v-stoke; 2017-07-05 10:21:02 GMT+3; 2017-08-12 15:00; Nothing; Xlenovo
Everton; 4/6; 8/11; 8/11; 4/6; 4/6; 13/20; 8/11; 4/6; 13/18; 7/10; 7/10; 8/11; 7/10; 4/6; 3/4; 7/10; 4/6; 4/6; 5/7; 3/4; 5/7; 13/18; 4/5; ; ; ; 4/6; ; 
Draw; 5/2; 11/4; 11/4; 13/5; 11/4; 5/2; 14/5; 5/2; 11/4; 13/5; 13/5; 14/5; 27/10; 5/2; 11/4; 13/5; 27/10; 11/4; 27/10; 141/50; 37/13; 11/4; 11/4; ; ; ; 21/10; ; 
Stoke; 9/2; 18/5; 19/5; 7/2; 7/2; 9/2; 17/4; 4; 15/4; 18/5; 18/5; 7/2; 15/4; 4; 15/4; 15/4; 4; 7/2; 50/13; 9/2; 39/10; 37/10; 7/2; ; ; ; 19/10; ; 
META; english/premier-league/everton-v-stoke; 2017-07-05 14:20:42 GMT+3; 2017-08-12 15:00; Nothing; Xlenovo
Everton; 4/6; 8/11; 8/11; 4/6; 4/6; 13/20; 8/11; 4/6; 13/18; 7/10; 7/10; 8/11; 7/10; 4/6; 3/4; 7/10; 4/6; 4/6; 5/7; 3/4; 5/7; 13/18; 4/5; ; ; ; 4/11; ; 
Draw; 5/2; 11/4; 11/4; 13/5; 11/4; 5/2; 14/5; 5/2; 11/4; 13/5; 13/5; 14/5; 27/10; 5/2; 11/4; 13/5; 27/10; 11/4; 27/10; 141/50; 37/13; 11/4; 11/4; ; ; ; 21/10; ; 
Stoke; 9/2; 18/5; 19/5; 7/2; 7/2; 9/2; 17/4; 4; 15/4; 18/5; 18/5; 7/2; 15/4; 4; 15/4; 15/4; 4; 7/2; 19/5; 9/2; 39/10; 37/10; 7/2; ; ; ; 19/10; ; 
META; english/premier-league/everton-v-stoke; 2017-07-05 18:20:49 GMT+3; 2017-08-12 15:00; Nothing; Xlenovo
Everton; 4/6; 8/11; 8/11; 4/6; 4/6; 13/20; 8/11; 4/6; 13/18; 7/10; 7/10; 8/11; 7/10; 4/6; 3/4; 7/10; 4/6; 4/6; 5/7; 3/4; 5/7; 13/18; 4/5; ; ; ; 4/11; ; 
Draw; 5/2; 11/4; 11/4; 13/5; 11/4; 5/2; 14/5; 5/2; 11/4; 13/5; 13/5; 14/5; 27/10; 5/2; 11/4; 13/5; 27/10; 11/4; 27/10; 141/50; 37/13; 11/4; 11/4; ; ; ; 21/10; ; 
Stoke; 9/2; 18/5; 19/5; 7/2; 7/2; 9/2; 17/4; 4; 15/4; 18/5; 18/5; 7/2; 15/4; 4; 15/4; 15/4; 4; 7/2; 19/5; 9/2; 39/10; 37/10; 7/2; ; ; ; 19/10; ; 
META; english/premier-league/everton-v-stoke; 2017-07-05 22:20:29 GMT+3; 2017-08-12 15:00; Nothing; Xlenovo
Everton; 4/6; 8/11; 8/11; 4/6; 4/6; 13/20; 8/11; 4/6; 13/18; 7/10; 7/10; 8/11; 7/10; 4/6; 3/4; 7/10; 4/6; 4/6; 5/7; 3/4; 5/7; 13/18; 4/5; ; ; ; 4/11; ; 
Draw; 5/2; 11/4; 11/4; 13/5; 11/4; 5/2; 14/5; 5/2; 11/4; 13/5; 13/5; 14/5; 27/10; 5/2; 11/4; 13/5; 27/10; 11/4; 27/10; 141/50; 37/13; 11/4; 11/4; ; ; ; 21/10; ; 
Stoke; 9/2; 18/5; 19/5; 7/2; 7/2; 9/2; 17/4; 4; 15/4; 18/5; 18/5; 7/2; 15/4; 4; 15/4; 15/4; 4; 7/2; 19/5; 9/2; 39/10; 37/10; 7/2; ; ; ; 19/10; ; 
META; english/premier-league/everton-v-stoke; 2017-07-06 02:20:09 GMT+3; 2017-08-12 15:00; Nothing; Xlenovo
Everton; 4/6; 8/11; 8/11; 4/6; 4/6; 13/20; 8/11; 4/6; 13/18; 7/10; 7/10; 8/11; 7/10; 4/6; 3/4; 7/10; 4/6; 4/6; 5/7; 3/4; 5/7; 13/18; 4/5; ; ; ; 4/11; ; 
Draw; 5/2; 11/4; 11/4; 13/5; 11/4; 5/2; 14/5; 5/2; 11/4; 13/5; 13/5; 14/5; 27/10; 5/2; 11/4; 13/5; 27/10; 11/4; 27/10; 141/50; 37/13; 11/4; 11/4; ; ; ; 21/10; ; 
Stoke; 9/2; 18/5; 19/5; 7/2; 7/2; 9/2; 17/4; 4; 15/4; 18/5; 18/5; 7/2; 15/4; 4; 15/4; 15/4; 4; 7/2; 19/5; 9/2; 39/10; 37/10; 7/2; ; ; ; 19/10; ; 
META; english/premier-league/everton-v-stoke; 2017-07-06 10:20:03 GMT+3; 2017-08-12 15:00; Nothing; Xlenovo
Everton; 4/6; 8/11; 8/11; 4/6; 4/6; 13/20; 8/11; 4/6; 13/18; 7/10; 7/10; 8/11; 7/10; 4/6; 3/4; 7/10; 4/6; 4/6; 5/7; 3/4; 5/7; 13/18; 4/5; ; ; ; 4/11; ; 
Draw; 5/2; 11/4; 11/4; 13/5; 11/4; 5/2; 14/5; 5/2; 11/4; 13/5; 13/5; 14/5; 27/10; 5/2; 11/4; 13/5; 27/10; 11/4; 27/10; 141/50; 37/13; 11/4; 11/4; ; ; ; 21/10; ; 
Stoke; 9/2; 18/5; 19/5; 7/2; 7/2; 9/2; 17/4; 4; 15/4; 18/5; 18/5; 7/2; 15/4; 4; 15/4; 15/4; 4; 7/2; 50/13; 9/2; 39/10; 37/10; 7/2; ; ; ; 19/10; ; 
META; english/premier-league/everton-v-stoke; 2017-07-06 14:19:54 GMT+3; 2017-08-12 15:00; Nothing; Xlenovo
Everton; 4/6; 8/11; 8/11; 4/6; 4/6; 13/20; 8/11; 4/6; 13/18; 7/10; 7/10; 8/11; 7/10; 4/6; 3/4; 7/10; 4/6; 4/6; 5/7; 3/4; 5/7; 13/18; 4/5; ; ; ; 4/11; ; 
Draw; 5/2; 11/4; 11/4; 13/5; 11/4; 5/2; 14/5; 5/2; 11/4; 13/5; 13/5; 14/5; 27/10; 5/2; 11/4; 13/5; 27/10; 11/4; 27/10; 141/50; 37/13; 11/4; 11/4; ; ; ; 21/10; ; 
Stoke; 9/2; 18/5; 19/5; 7/2; 7/2; 9/2; 17/4; 4; 15/4; 18/5; 18/5; 7/2; 15/4; 4; 15/4; 15/4; 4; 7/2; 50/13; 9/2; 39/10; 37/10; 7/2; ; ; ; 19/10; ; 
META; english/premier-league/everton-v-stoke; 2017-07-06 18:19:55 GMT+3; 2017-08-12 15:00; Nothing; Xlenovo
Everton; 4/6; 8/11; 8/11; 4/6; 4/6; 13/20; 8/11; 4/6; 13/18; 7/10; 7/10; 8/11; 7/10; 4/6; 3/4; 7/10; 4/6; 4/6; 5/7; 3/4; 5/7; 13/18; 4/5; ; ; ; 4/11; ; 
