META; spain/la-liga-primera/real-madrid-v-alaves; 2017-03-12 18:18:35 GMT+2; 2017-04-02 14:15; Nothing; Xlenovo
Real Madrid; ; ; 1/9; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 2/17; ; ; 7/50; ; ; ; ; ; ; 
Draw; ; ; 11/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 7; ; ; 19/2; ; ; ; ; ; ; 
Alaves; ; ; 18; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 18; ; ; 22; ; ; ; ; ; ; 
META; spain/la-liga-primera/real-madrid-v-alaves; 2017-03-12 22:18:41 GMT+2; 2017-04-02 14:15; Nothing; Xlenovo
Real Madrid; ; ; 1/9; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 2/17; ; ; 7/50; ; ; ; ; ; ; 
Draw; ; ; 11/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 7; ; ; 19/2; ; ; ; ; ; ; 
Alaves; ; ; 18; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 18; ; ; 22; ; ; ; ; ; ; 
META; spain/la-liga-primera/real-madrid-v-alaves; 2017-03-13 02:19:14 GMT+2; 2017-04-02 14:15; Nothing; Xlenovo
Real Madrid; ; ; 1/9; ; ; ; ; ; ; ; ; ; ; ; ; ; 3/19; 2/17; ; 3/19; 7/50; ; ; ; ; ; ; 
Draw; ; ; 11/2; ; ; ; ; ; ; ; ; ; ; ; ; ; 96/17; 7; ; 96/17; 19/2; ; ; ; ; ; ; 
Alaves; ; ; 18; ; ; ; ; ; ; ; ; ; ; ; ; ; 31/2; 18; ; 31/2; 22; ; ; ; ; ; ; 
META; spain/la-liga-primera/real-madrid-v-alaves; 2017-03-13 06:19:52 GMT+2; 2017-04-02 14:15; Nothing; Xlenovo
Real Madrid; 1/10; ; 1/9; ; ; ; 1/9; ; ; ; ; ; ; ; ; 2/17; 2/17; 2/17; ; 2/17; 7/50; ; ; ; ; ; ; 
Draw; 10; ; 11/2; ; ; ; 10; ; ; ; ; ; ; ; ; 10; 29/4; 7; ; 29/4; 19/2; ; ; ; ; ; ; 
Alaves; 14; ; 18; ; ; ; 17; ; ; ; ; ; ; ; ; 16; 57/4; 18; ; 57/4; 22; ; ; ; ; ; ; 
META; spain/la-liga-primera/real-madrid-v-alaves; 2017-03-13 10:18:08 GMT+2; 2017-04-02 14:15; Nothing; Xlenovo
Real Madrid; 1/10; ; 1/9; ; ; ; 1/9; ; ; ; ; ; ; ; ; 1/9; 2/17; 2/17; ; 2/17; 7/50; ; ; ; ; ; ; 
Draw; 10; ; 11/2; ; ; ; 10; ; ; ; ; ; ; ; ; 10; 29/4; 7; ; 29/4; 19/2; ; ; ; ; ; ; 
Alaves; 14; ; 18; ; ; ; 17; ; ; ; ; ; ; ; ; 18; 29/2; 18; ; 29/2; 22; ; ; ; ; ; ; 
META; spain/la-liga-primera/real-madrid-v-alaves; 2017-03-13 14:19:05 GMT+2; 2017-04-02 14:15; Nothing; Xlenovo
Real Madrid; 1/10; ; 1/9; ; ; ; 1/10; ; ; ; ; ; ; ; ; 1/9; 2/17; 2/17; ; 2/17; 7/50; 1/9; ; ; ; ; ; 
Draw; 10; ; 11/2; ; ; ; 10; ; ; ; ; ; ; ; ; 10; 29/4; 7; ; 29/4; 19/2; 79/10; ; ; ; ; ; 
Alaves; 14; ; 18; ; ; ; 18; ; ; ; ; ; ; ; ; 18; 15; 18; ; 15; 22; 14; ; ; ; ; ; 
META; spain/la-liga-primera/real-madrid-v-alaves; 2017-03-13 18:20:21 GMT+2; 2017-04-02 14:15; Nothing; Xlenovo
Real Madrid; 1/10; ; 1/8; ; ; ; 1/10; ; 1/9; ; ; ; ; ; 2/15; 1/9; 1/10; 2/17; ; 1/10; 7/50; 1/9; ; ; ; ; ; ; 
Draw; 9; 7; 8; 17/2; 17/2; 17/2; 9; 17/2; 15/2; 15/2; 8; 15/2; 15/2; 17/2; 8; 8; 33/4; 17/2; 8; ; 9; 17/2; 8; 8; 8; ; 17/2; 43/5; 44/5
Alaves; 18; 16; 20; 20; 20; 18; 22; 20; 16; 20; 20; 18; 20; 22; 16; 20; 83/4; 37/2; 17; ; 19; 18; 17; 20; 17; ; 23; 23; 21
META; spain/la-liga-primera/real-madrid-v-alaves; 2017-04-02 02:45:07 GMT+3; 2017-04-02 15:15; Nothing; Xlenovo
Real Madrid; 1/9; 1/7; 2/13; 1/8; 1/8; 1/7; 1/8; 1/7; 2/15; 1/7; 1/9; 1/7; 2/15; 1/7; 2/15; 2/17; ; 2/17; 2/15; 1/9; 7/50; 1/8; 1/8; 2/15; 1/7; ; 1/7; 2/13; 2/13
Draw; 9; 8; 8; 17/2; 17/2; 17/2; 9; 7; 15/2; 15/2; 8; 7; 15/2; 17/2; 8; 8; ; 17/2; 8; 33/4; 9; 17/2; 8; 8; 8; ; 17/2; 43/5; 44/5
Alaves; 18; 18; 18; 20; 20; 18; 22; 18; 16; 20; 20; 16; 20; 22; 16; 20; ; 37/2; 17; 41/2; 19; 18; 17; 20; 17; ; 24; 23; 22
META; spain/la-liga-primera/real-madrid-v-alaves; 2017-04-02 06:44:26 GMT+3; 2017-04-02 15:15; Nothing; Xlenovo
Real Madrid; 1/9; 1/7; 2/13; 1/8; 1/7; 1/7; 1/8; 1/7; 2/15; 1/7; 1/9; 1/7; 2/15; 1/7; 2/15; 2/17; 1/9; 2/17; 2/15; 1/9; 7/50; 1/7; 1/8; 2/15; 1/7; ; 2/15; 1/7; 2/13
Draw; 9; 8; 8; 17/2; 8; 17/2; 9; 7; 15/2; 15/2; 8; 7; 15/2; 8; 8; 8; 33/4; 17/2; 8; 33/4; 9; 8; 8; 8; 8; ; 9; 46/5; 44/5
Alaves; 18; 18; 18; 20; 20; 18; 22; 18; 16; 20; 20; 16; 20; 22; 16; 20; 41/2; 37/2; 17; 41/2; 19; 17; 17; 20; 17; ; 23; 23; 22
META; spain/la-liga-primera/real-madrid-v-alaves; 2017-04-02 10:45:11 GMT+3; 2017-04-02 15:15; Nothing; Xlenovo
Real Madrid; 1/9; 1/7; 2/13; 1/8; 1/7; 2/13; 2/15; 1/7; 1/7; 1/7; 1/8; 1/7; 2/15; 3/20; 1/7; 2/17; 2/17; 2/17; 2/15; 2/17; 7/50; 1/7; 1/8; 2/15; 1/7; ; 1/7; 2/13; 2/13
Draw; 9; 8; 15/2; 17/2; 8; 8; 9; 7; 15/2; 15/2; 15/2; 7; 17/2; 8; 15/2; 8; 8; 17/2; 8; 8; 9; 8; 8; 8; 8; ; 17/2; 43/5; 9
Alaves; 18; 18; 18; 20; 20; 16; 21; 18; 14; 18; 18; 16; 16; 22; 16; 18; 79/4; 37/2; 17; 79/4; 19; 17; 17; 20; 17; ; 21; 21; 22
META; spain/la-liga-primera/real-madrid-v-alaves; 2017-04-02 14:45:17 GMT+3; 2017-04-02 15:15; Nothing; Xlenovo
Real Madrid; 1/9; 1/7; 1/7; 1/8; 1/8; 1/7; 1/8; 2/13; 2/15; 2/15; 1/9; 1/8; 2/15; 1/7; 1/7; 2/17; 1/9; 2/17; 2/15; 1/9; 7/50; 2/17; 1/8; 2/15; 1/7; ; 1/7; 2/13; 2/13
Draw; 9; 8; 8; 17/2; 17/2; 17/2; 9; 13/2; 15/2; 8; 17/2; 15/2; 17/2; 17/2; 15/2; 8; 33/4; 17/2; 8; 33/4; 9; 44/5; 8; 17/2; 8; ; 19/2; 46/5; 49/5
Alaves; 18; 18; 20; 20; 20; 18; 22; 18; 16; 20; 20; 18; 16; 22; 16; 18; 81/4; 37/2; 17; 81/4; 19; 18; 17; 20; 17; ; 21; 21; 22
META; spain/la-liga-primera/real-madrid-v-alaves; 2017-04-02 18:58:37 GMT+3; 2017-04-02 15:15; In Play; Xlenovo
Real Madrid; ; ; 1/14; 1/33; 1/16; 1/28; ; ; ; 1/28; ; 1/18; 1/20; 1/16; ; ; 1/25; ; ; 1/25; ; ; ; 1/14; 1/16; ; 1/10; 1/12; 1/10
Draw; ; ; 8; 12; 12; 10; ; 175; ; 18; ; 8; 11; 11; ; ; 21/2; ; ; 43/4; ; ; ; 9; 19/2; ; 9; 53/5; 49/5
Alaves; ; ; 60; 65; 50; 200; ; 500; ; 100; ; 80; 50; 90; ; ; 177/4; ; ; 187/4; ; ; ; 80; 130; ; 113; 145; 99
