META; english/premier-league/west-brom-v-bournemouth; 2017-02-05 16:17:40 GMT+2; 2017-02-25 15:00; e70300-dr003
West Brom; ; 11/10; 5/4; ; ; ; ; 6/5; ; ; ; ; ; ; ; 6/5; ; 13/10; ; ; 5/4; ; ; ; ; ; ; 
Draw; ; 23/10; 11/5; ; ; ; ; 11/5; ; ; ; ; ; ; ; 12/5; ; 11/5; ; ; 119/50; ; ; ; ; ; ; 
Bournemouth; ; 5/2; 2; ; ; ; ; 9/4; ; ; ; ; ; ; ; 5/2; ; 21/10; ; ; 131/50; ; ; ; ; ; ; 
META; english/premier-league/west-brom-v-bournemouth; 2017-02-05 20:17:07 GMT+2; 2017-02-25 15:00; e70300-dr003
West Brom; 11/10; 11/10; 5/4; ; ; ; 23/20; 6/5; 11/10; 11/10; 11/10; ; ; ; ; 15/13; 1; 1; 21/20; 1; 119/100; ; 21/20; ; ; ; ; 
Bournemouth; 3; 13/5; 14/5; 13/5; 11/4; 14/5; 3; 11/4; 14/5; 14/5; 5/2; 13/5; 14/5; 14/5; 14/5; 11/4; 29/10; 11/4; 14/5; 29/10; 31/10; 29/10; 56/19; 11/4; ; 14/5; 14/5; 3
META; english/premier-league/west-brom-v-bournemouth; 2017-02-24 08:15:33 GMT+2; 2017-02-25 15:00; e70300-dr003
West Brom; 11/10; 21/20; 11/10; 21/20; 11/10; 21/20; 21/20; 21/20; 11/10; 1; 1; 1; 1; 11/10; 21/20; 21/20; 21/20; 21/20; 1; 21/20; 107/100; 42/41; 24/23; 21/20; ; 1; 21/20; 21/20
Draw; 12/5; 12/5; 49/20; 12/5; 5/2; 12/5; 5/2; 23/10; 12/5; 9/4; 9/4; 12/5; 49/20; 5/2; 23/10; 12/5; 40/17; 12/5; 23/10; 40/17; 121/50; 40/17; 40/17; 23/10; ; 23/10; 23/10; 12/5
Bournemouth; 3; 13/5; 14/5; 13/5; 11/4; 14/5; 3; 11/4; 14/5; 14/5; 5/2; 13/5; 14/5; 14/5; 14/5; 11/4; 29/10; 11/4; 14/5; 29/10; 31/10; 29/10; 56/19; 11/4; ; 14/5; 14/5; 3
META; english/premier-league/west-brom-v-bournemouth; 2017-02-24 09:45:37 GMT+2; 2017-02-25 15:00; e70300-dr003
West Brom; 11/10; 21/20; 11/10; 21/20; 11/10; 21/20; 21/20; 21/20; 11/10; 1; 1; 1; 1; 11/10; 21/20; 21/20; 21/20; 21/20; 1; 21/20; 107/100; 42/41; 24/23; 21/20; ; 1; 21/20; 21/20
Draw; 12/5; 12/5; 49/20; 12/5; 5/2; 12/5; 5/2; 23/10; 12/5; 9/4; 9/4; 12/5; 49/20; 5/2; 23/10; 12/5; 40/17; 12/5; 23/10; 40/17; 121/50; 40/17; 40/17; 23/10; ; 23/10; 23/10; 12/5
Bournemouth; 3; 13/5; 14/5; 13/5; 11/4; 14/5; 3; 11/4; 14/5; 14/5; 5/2; 13/5; 14/5; 14/5; 14/5; 11/4; 29/10; 11/4; 14/5; 29/10; 31/10; 29/10; 56/19; 11/4; ; 14/5; 14/5; 3
META; english/premier-league/west-brom-v-bournemouth; 2017-02-24 11:45:38 GMT+2; 2017-02-25 15:00; e70300-dr003
West Brom; 11/10; 1; 11/10; 21/20; 11/10; 21/20; 21/20; 21/20; 11/10; 1; 1; 21/20; 1; 21/20; 21/20; 21/20; 21/20; 21/20; 1; 21/20; 107/100; 42/41; 24/23; 11/10; ; 1; 21/20; 11/10
Draw; 12/5; 12/5; 49/20; 12/5; 5/2; 12/5; 5/2; 23/10; 12/5; 23/10; 9/4; 5/2; 49/20; 5/2; 12/5; 12/5; 12/5; 12/5; 23/10; 12/5; 121/50; 40/17; 40/17; 12/5; ; 23/10; 23/10; 12/5
Bournemouth; 3; 11/4; 14/5; 13/5; 11/4; 14/5; 3; 11/4; 14/5; 14/5; 5/2; 14/5; 14/5; 11/4; 3; 11/4; 29/10; 11/4; 14/5; 29/10; 31/10; 29/10; 56/19; 14/5; ; 14/5; 14/5; 3
META; english/premier-league/west-brom-v-bournemouth; 2017-02-24 12:15:44 GMT+2; 2017-02-25 15:00; e70300-dr003
West Brom; 11/10; 1; 11/10; 21/20; 11/10; 21/20; 21/20; 21/20; 11/10; 1; 1; 21/20; 1; 21/20; 21/20; 21/20; 21/20; 21/20; 1; 21/20; 107/100; 42/41; 24/23; 11/10; ; 1; 21/20; 11/10
Draw; 12/5; 12/5; 49/20; 12/5; 5/2; 12/5; 5/2; 23/10; 12/5; 23/10; 9/4; 5/2; 49/20; 5/2; 12/5; 12/5; 12/5; 12/5; 23/10; 12/5; 121/50; 40/17; 40/17; 12/5; ; 23/10; 23/10; 12/5
Bournemouth; 3; 11/4; 14/5; 13/5; 11/4; 14/5; 3; 11/4; 14/5; 14/5; 5/2; 14/5; 14/5; 11/4; 3; 11/4; 29/10; 11/4; 14/5; 29/10; 31/10; 29/10; 56/19; 11/4; ; 14/5; 14/5; 3
META; english/premier-league/west-brom-v-bournemouth; 2017-02-24 13:01:05 GMT+2; 2017-02-25 15:00; e70300-dr003
West Brom; 11/10; 1; 11/10; 21/20; 11/10; 21/20; 21/20; 21/20; 11/10; 1; 1; 21/20; 1; 21/20; 21/20; 21/20; 21/20; 21/20; 21/20; 21/20; 109/100; 42/41; 17/16; 11/10; ; 21/20; 21/20; 11/10
Draw; 12/5; 12/5; 49/20; 12/5; 5/2; 12/5; 5/2; 23/10; 12/5; 23/10; 9/4; 5/2; 49/20; 5/2; 12/5; 12/5; 40/17; 12/5; 12/5; 12/5; 49/20; 40/17; 12/5; 12/5; ; 23/10; 23/10; 12/5
Bournemouth; 3; 11/4; 14/5; 13/5; 11/4; 14/5; 3; 11/4; 14/5; 14/5; 5/2; 14/5; 14/5; 11/4; 3; 11/4; 37/13; 11/4; 14/5; 29/10; 3; 29/10; 37/13; 11/4; ; 14/5; 14/5; 14/5
META; english/premier-league/west-brom-v-bournemouth; 2017-02-24 13:45:39 GMT+2; 2017-02-25 15:00; e70300-dr003
West Brom; 11/10; 1; 11/10; 21/20; 11/10; 21/20; 21/20; 21/20; 11/10; 1; 1; 21/20; 1; 11/10; 21/20; 21/20; 21/20; 21/20; 21/20; 21/20; 109/100; 42/41; 17/16; 11/10; ; 21/20; 21/20; 10/9
Draw; 12/5; 12/5; 49/20; 12/5; 5/2; 12/5; 5/2; 23/10; 12/5; 23/10; 9/4; 5/2; 49/20; 5/2; 12/5; 12/5; 40/17; 12/5; 12/5; 40/17; 49/20; 40/17; 12/5; 12/5; ; 23/10; 23/10; 12/5
Bournemouth; 3; 11/4; 14/5; 13/5; 11/4; 14/5; 3; 11/4; 14/5; 14/5; 5/2; 14/5; 14/5; 14/5; 3; 11/4; 37/13; 11/4; 14/5; 37/13; 3; 29/10; 37/13; 11/4; ; 14/5; 14/5; 14/5
META; english/premier-league/west-brom-v-bournemouth; 2017-02-24 15:45:49 GMT+2; 2017-02-25 15:00; e70300-dr003
West Brom; 11/10; 1; 11/10; 11/10; 11/10; 21/20; 21/20; 21/20; 11/10; 21/20; 21/20; 21/20; 21/20; 11/10; 21/20; 21/20; 21/20; 21/20; 21/20; 21/20; 109/100; 21/20; 17/16; 11/10; ; 21/20; 10/9; 10/9
Draw; 12/5; 12/5; 49/20; 23/10; 5/2; 12/5; 5/2; 23/10; 12/5; 23/10; 9/4; 5/2; 49/20; 12/5; 12/5; 12/5; 12/5; 12/5; 12/5; 12/5; 49/20; 23/10; 12/5; 12/5; ; 23/10; 23/10; 12/5
Bournemouth; 3; 11/4; 14/5; 14/5; 11/4; 14/5; 3; 11/4; 14/5; 11/4; 5/2; 14/5; 14/5; 29/10; 3; 14/5; 37/13; 11/4; 14/5; 37/13; 3; 3; 37/13; 11/4; ; 14/5; 14/5; 14/5
META; english/premier-league/west-brom-v-bournemouth; 2017-02-24 16:16:14 GMT+2; 2017-02-25 15:00; e70300-dr003
West Brom; 11/10; 1; 11/10; 11/10; 11/10; 21/20; 21/20; 21/20; 11/10; 21/20; 21/20; 21/20; 21/20; 11/10; 21/20; 21/20; 21/20; 21/20; 21/20; 21/20; 109/100; 21/20; 17/16; 11/10; ; 21/20; 21/20; 10/9
Draw; 12/5; 12/5; 49/20; 23/10; 5/2; 12/5; 5/2; 23/10; 12/5; 23/10; 9/4; 5/2; 49/20; 12/5; 12/5; 12/5; 12/5; 12/5; 12/5; 12/5; 49/20; 23/10; 12/5; 12/5; ; 23/10; 23/10; 12/5
Bournemouth; 3; 11/4; 14/5; 14/5; 11/4; 14/5; 3; 11/4; 14/5; 11/4; 5/2; 14/5; 11/4; 29/10; 3; 14/5; 37/13; 11/4; 14/5; 37/13; 3; 3; 37/13; 11/4; ; 14/5; 14/5; 14/5
META; english/premier-league/west-brom-v-bournemouth; 2017-02-24 17:45:58 GMT+2; 2017-02-25 15:00; e70300-dr003
West Brom; 11/10; 1; 11/10; 11/10; 11/10; 21/20; 21/20; 21/20; 11/10; 1; 21/20; 21/20; 21/20; 11/10; 21/20; 21/20; 21/20; 21/20; ; 21/20; 109/100; 21/20; ; 11/10; ; 21/20; 21/20; 10/9
Draw; 12/5; 12/5; 49/20; 23/10; 5/2; 12/5; 5/2; 9/4; 12/5; 23/10; 12/5; 5/2; 49/20; 12/5; 12/5; 12/5; 40/17; 12/5; ; 12/5; 49/20; 40/17; ; 12/5; ; 23/10; 23/10; 12/5
Bournemouth; 3; 11/4; 14/5; 14/5; 11/4; 14/5; 3; 29/10; 14/5; 14/5; 14/5; 14/5; 11/4; 29/10; 3; 14/5; 14/5; 11/4; ; 37/13; 3; 29/10; ; 14/5; ; 14/5; 14/5; 14/5
META; english/premier-league/west-brom-v-bournemouth; 2017-02-24 18:34:30 GMT+2; 2017-02-25 15:00; e70300-dr003
West Brom; 11/10; 1; 11/10; 11/10; 11/10; 21/20; 21/20; 21/20; 11/10; 21/20; 21/20; 21/20; 21/20; 11/10; 21/20; 21/20; 21/20; 21/20; 21/20; 21/20; 109/100; 17/16; 17/16; 11/10; ; 21/20; 21/20; 10/9
Draw; 12/5; 12/5; 49/20; 23/10; 5/2; 12/5; 5/2; 9/4; 12/5; 23/10; 12/5; 5/2; 49/20; 12/5; 12/5; 12/5; 40/17; 12/5; 12/5; 40/17; 49/20; 40/17; 12/5; 23/10; ; 23/10; 23/10; 12/5
Bournemouth; 3; 11/4; 14/5; 14/5; 11/4; 14/5; 3; 29/10; 14/5; 11/4; 14/5; 14/5; 11/4; 29/10; 3; 14/5; 14/5; 11/4; 14/5; 14/5; 3; 29/10; 37/13; 14/5; ; 14/5; 14/5; 14/5
META; english/premier-league/west-brom-v-bournemouth; 2017-02-24 19:45:44 GMT+2; 2017-02-25 15:00; e70300-dr003
West Brom; 11/10; 1; 11/10; 11/10; 11/10; 21/20; 21/20; 21/20; 11/10; 21/20; 21/20; 21/20; 21/20; 11/10; 21/20; 21/20; 21/20; 21/20; 21/20; 21/20; 27/25; 17/16; 17/16; 11/10; ; 21/20; 21/20; 11/10
Draw; 12/5; 12/5; 49/20; 23/10; 5/2; 12/5; 5/2; 9/4; 12/5; 9/4; 12/5; 5/2; 49/20; 12/5; 12/5; 12/5; 40/17; 12/5; 12/5; 40/17; 62/25; 40/17; 12/5; 12/5; ; 23/10; 23/10; 12/5
Bournemouth; 3; 11/4; 14/5; 14/5; 11/4; 14/5; 3; 29/10; 14/5; 14/5; 14/5; 14/5; 11/4; 29/10; 3; 14/5; 29/10; 11/4; 14/5; 29/10; 3; 29/10; 37/13; 14/5; ; 14/5; 14/5; 14/5
META; english/premier-league/west-brom-v-bournemouth; 2017-02-24 20:15:52 GMT+2; 2017-02-25 15:00; e70300-dr003
West Brom; 11/10; 1; 11/10; 11/10; 11/10; 21/20; 21/20; 21/20; 11/10; 21/20; 21/20; 21/20; 21/20; 23/20; 21/20; 21/20; 21/20; 21/20; 21/20; 21/20; 27/25; 17/16; 17/16; 11/10; ; 21/20; 21/20; 11/10
Draw; 12/5; 12/5; 49/20; 23/10; 5/2; 12/5; 5/2; 9/4; 12/5; 9/4; 12/5; 5/2; 49/20; 5/2; 12/5; 12/5; 40/17; 12/5; 12/5; 40/17; 62/25; 40/17; 12/5; 12/5; ; 23/10; 23/10; 12/5
Bournemouth; 3; 11/4; 14/5; 14/5; 11/4; 14/5; 3; 29/10; 14/5; 14/5; 14/5; 14/5; 11/4; 3; 3; 14/5; 29/10; 11/4; 14/5; 29/10; 3; 29/10; 37/13; 14/5; ; 14/5; 14/5; 14/5
META; english/premier-league/west-brom-v-bournemouth; 2017-02-24 21:45:47 GMT+2; 2017-02-25 15:00; e70300-dr003
West Brom; 11/10; 1; 11/10; 11/10; 11/10; 21/20; 21/20; 21/20; 11/10; 1; 21/20; 21/20; 21/20; 21/20; 21/20; 21/20; 21/20; 21/20; 21/20; 21/20; 27/25; 17/16; 17/16; 11/10; ; 21/20; 21/20; 10/9
Draw; 12/5; 12/5; 49/20; 23/10; 5/2; 12/5; 5/2; 9/4; 12/5; 23/10; 12/5; 5/2; 49/20; 12/5; 12/5; 12/5; 40/17; 12/5; 12/5; 40/17; 62/25; 40/17; 12/5; 12/5; ; 23/10; 12/5; 12/5
Bournemouth; 3; 11/4; 14/5; 14/5; 11/4; 14/5; 3; 29/10; 14/5; 14/5; 14/5; 14/5; 11/4; 29/10; 3; 14/5; 29/10; 11/4; 14/5; 29/10; 3; 29/10; 37/13; 14/5; ; 14/5; 14/5; 14/5
META; english/premier-league/west-brom-v-bournemouth; 2017-02-24 23:45:25 GMT+2; 2017-02-25 15:00; e70300-dr003
West Brom; 11/10; 1; 11/10; 11/10; 23/20; 21/20; 21/20; 21/20; 11/10; 1; 21/20; 21/20; 21/20; 21/20; 21/20; 21/20; 21/20; 21/20; 21/20; 21/20; 27/25; 17/16; 17/16; 11/10; ; 21/20; 21/20; 10/9
Draw; 12/5; 12/5; 49/20; 23/10; 12/5; 12/5; 5/2; 9/4; 12/5; 23/10; 12/5; 23/10; 49/20; 12/5; 12/5; 12/5; 40/17; 12/5; 12/5; 40/17; 62/25; 40/17; 12/5; 12/5; ; 23/10; 12/5; 12/5
Bournemouth; 3; 11/4; 14/5; 14/5; 11/4; 14/5; 3; 29/10; 14/5; 14/5; 14/5; 3; 11/4; 29/10; 3; 14/5; 37/13; 11/4; 14/5; 37/13; 3; 29/10; 37/13; 14/5; ; 14/5; 14/5; 14/5
META; english/premier-league/west-brom-v-bournemouth; 2017-02-25 00:15:53 GMT+2; 2017-02-25 15:00; e70300-dr003
West Brom; 11/10; 1; 11/10; 11/10; 11/10; 21/20; 11/10; 21/20; 11/10; 1; 21/20; 21/20; 21/20; 11/10; 21/20; 21/20; 21/20; 21/20; 21/20; 21/20; 27/25; 17/16; 17/16; 11/10; ; 21/20; 21/20; 10/9
Draw; 12/5; 12/5; 49/20; 23/10; 12/5; 12/5; 12/5; 9/4; 12/5; 23/10; 12/5; 23/10; 49/20; 12/5; 12/5; 12/5; 40/17; 12/5; 12/5; 40/17; 62/25; 40/17; 12/5; 12/5; ; 23/10; 12/5; 12/5
Bournemouth; 3; 11/4; 14/5; 14/5; 3; 14/5; 3; 29/10; 14/5; 14/5; 14/5; 3; 11/4; 29/10; 3; 14/5; 37/13; 11/4; 14/5; 37/13; 3; 29/10; 37/13; 14/5; ; 14/5; 14/5; 14/5
META; english/premier-league/west-brom-v-bournemouth; 2017-02-25 00:52:00 GMT+2; 2017-02-25 15:00; e70300-dr003
West Brom; 11/10; 21/20; 11/10; 11/10; 11/10; 21/20; 11/10; 21/20; 11/10; 1; 21/20; 21/20; 21/20; 11/10; 21/20; 21/20; 21/20; 21/20; 21/20; 21/20; 27/25; 17/16; 17/16; 11/10; ; 21/20; 21/20; 10/9
Draw; 12/5; 12/5; 49/20; 23/10; 12/5; 12/5; 12/5; 9/4; 12/5; 23/10; 12/5; 23/10; 49/20; 12/5; 12/5; 12/5; 40/17; 12/5; 12/5; 40/17; 62/25; 40/17; 12/5; 12/5; ; 23/10; 12/5; 12/5
Bournemouth; 3; 13/5; 14/5; 14/5; 3; 14/5; 3; 29/10; 14/5; 14/5; 14/5; 3; 11/4; 29/10; 3; 14/5; 37/13; 11/4; 14/5; 37/13; 3; 29/10; 37/13; 14/5; ; 14/5; 14/5; 14/5
META; english/premier-league/west-brom-v-bournemouth; 2017-02-25 01:45:12 GMT+2; 2017-02-25 15:00; e70300-dr003
West Brom; 11/10; 21/20; 11/10; 11/10; 11/10; 21/20; 11/10; 21/20; 11/10; 1; 21/20; 21/20; 21/20; 11/10; 21/20; 21/20; 21/20; 21/20; 21/20; 21/20; 27/25; 17/16; 17/16; 11/10; ; 1; 21/20; 21/20
Draw; 12/5; 12/5; 49/20; 23/10; 12/5; 12/5; 12/5; 9/4; 12/5; 23/10; 12/5; 23/10; 49/20; 12/5; 12/5; 12/5; 40/17; 12/5; 12/5; 40/17; 62/25; 40/17; 12/5; 12/5; ; 23/10; 12/5; 12/5
Bournemouth; 3; 13/5; 14/5; 14/5; 3; 14/5; 3; 29/10; 14/5; 14/5; 14/5; 3; 11/4; 29/10; 3; 14/5; 37/13; 11/4; 14/5; 37/13; 3; 29/10; 37/13; 14/5; ; 14/5; 14/5; 14/5
META; english/premier-league/west-brom-v-bournemouth; 2017-02-25 03:45:18 GMT+2; 2017-02-25 15:00; e70300-dr003
West Brom; 21/20; 21/20; 11/10; 11/10; 11/10; 21/20; 21/20; 21/20; 11/10; 1; 21/20; 21/20; 21/20; 21/20; 21/20; 21/20; 21/20; 21/20; 1; 21/20; 27/25; 17/16; 42/41; 21/20; ; 1; 21/20; 21/20
Draw; 5/2; 12/5; 49/20; 23/10; 5/2; 12/5; 5/2; 9/4; 12/5; 23/10; 12/5; 23/10; 49/20; 12/5; 12/5; 12/5; 40/17; 12/5; 12/5; 40/17; 62/25; 40/17; 12/5; 12/5; ; 23/10; 12/5; 12/5
Bournemouth; 3; 13/5; 14/5; 14/5; 11/4; 14/5; 3; 29/10; 14/5; 14/5; 14/5; 3; 11/4; 29/10; 3; 14/5; 29/10; 11/4; 3; 29/10; 3; 29/10; 3; 14/5; ; 14/5; 14/5; 14/5
META; english/premier-league/west-brom-v-bournemouth; 2017-02-25 04:15:56 GMT+2; 2017-02-25 15:00; e70300-dr003
West Brom; 21/20; 21/20; 11/10; 11/10; 11/10; 21/20; 11/10; 21/20; 11/10; 1; 21/20; 21/20; 21/20; 21/20; 21/20; 21/20; 21/20; 21/20; 1; 21/20; 27/25; 17/16; 42/41; 21/20; ; 1; 21/20; 21/20
Draw; 5/2; 12/5; 49/20; 23/10; 5/2; 12/5; 12/5; 9/4; 12/5; 23/10; 12/5; 23/10; 49/20; 12/5; 12/5; 12/5; 12/5; 12/5; 12/5; 12/5; 62/25; 40/17; 12/5; 12/5; ; 23/10; 12/5; 12/5
Bournemouth; 3; 13/5; 14/5; 14/5; 11/4; 14/5; 3; 29/10; 14/5; 14/5; 14/5; 3; 11/4; 29/10; 3; 14/5; 29/10; 11/4; 3; 29/10; 3; 29/10; 3; 14/5; ; 14/5; 14/5; 14/5
META; english/premier-league/west-brom-v-bournemouth; 2017-02-25 05:45:18 GMT+2; 2017-02-25 15:00; e70300-dr003
West Brom; 21/20; 21/20; 11/10; 11/10; 11/10; 21/20; 21/20; 21/20; 11/10; 1; 21/20; 21/20; 21/20; 21/20; 21/20; 21/20; 21/20; 21/20; 1; 21/20; 27/25; 17/16; 42/41; 21/20; ; 1; 21/20; 21/20
Draw; 5/2; 12/5; 49/20; 23/10; 5/2; 12/5; 5/2; 9/4; 12/5; 23/10; 12/5; 23/10; 49/20; 12/5; 12/5; 12/5; 12/5; 12/5; 12/5; 12/5; 62/25; 40/17; 12/5; 12/5; ; 23/10; 12/5; 12/5
Bournemouth; 3; 13/5; 14/5; 14/5; 11/4; 14/5; 3; 29/10; 14/5; 14/5; 14/5; 3; 11/4; 29/10; 3; 14/5; 29/10; 11/4; 3; 29/10; 3; 29/10; 3; 14/5; ; 14/5; 3; 3
META; english/premier-league/west-brom-v-bournemouth; 2017-02-25 06:30:58 GMT+2; 2017-02-25 15:00; e70300-dr003
West Brom; 21/20; 21/20; 11/10; 11/10; 11/10; 21/20; 21/20; 21/20; 11/10; 1; 21/20; 21/20; 21/20; 21/20; 21/20; 21/20; 21/20; 21/20; 1; 21/20; 27/25; 17/16; 42/41; 21/20; ; 1; 21/20; 21/20
Draw; 5/2; 12/5; 49/20; 23/10; 5/2; 12/5; 5/2; 9/4; 12/5; 23/10; 12/5; 23/10; 49/20; 12/5; 12/5; 12/5; 12/5; 12/5; 12/5; 12/5; 62/25; 40/17; 12/5; 12/5; ; 23/10; 12/5; 12/5
Bournemouth; 3; 13/5; 14/5; 14/5; 11/4; 14/5; 3; 29/10; 14/5; 14/5; 14/5; 3; 11/4; 29/10; 3; 14/5; 29/10; 11/4; 3; 29/10; 3; 29/10; 3; 14/5; ; 14/5; 3; 3
META; english/premier-league/west-brom-v-bournemouth; 2017-02-25 07:45:18 GMT+2; 2017-02-25 15:00; e70300-dr003
West Brom; 21/20; 21/20; 11/10; 11/10; 11/10; 21/20; 1; 21/20; 11/10; 1; 21/20; 21/20; 21/20; 21/20; 21/20; 21/20; 21/20; 21/20; 1; 21/20; 27/25; 68/67; 42/41; 1; ; 1; 21/20; 1
Draw; 5/2; 12/5; 49/20; 23/10; 5/2; 12/5; 5/2; 9/4; 12/5; 23/10; 12/5; 23/10; 49/20; 12/5; 12/5; 12/5; 12/5; 12/5; 12/5; 12/5; 62/25; 40/17; 12/5; 12/5; ; 23/10; 12/5; 12/5
Bournemouth; 3; 13/5; 14/5; 14/5; 11/4; 14/5; 16/5; 29/10; 14/5; 14/5; 14/5; 3; 11/4; 29/10; 3; 14/5; 29/10; 11/4; 3; 29/10; 3; 31/10; 3; 3; ; 14/5; 14/5; 3
META; english/premier-league/west-brom-v-bournemouth; 2017-02-25 08:15:54 GMT+2; 2017-02-25 15:00; e70300-dr003
West Brom; 1; 21/20; 11/10; 11/10; 21/20; 1; 21/20; 21/20; 21/20; 20/21; 21/20; 1; 21/20; 21/20; 21/20; 21/20; 1; 21/20; 1; 1; 27/25; 42/41; 42/41; 1; ; 1; 21/20; 1
Draw; 5/2; 12/5; 49/20; 23/10; 5/2; 12/5; 5/2; 9/4; 12/5; 23/10; 12/5; 12/5; 49/20; 5/2; 12/5; 12/5; 12/5; 12/5; 12/5; 12/5; 62/25; 40/17; 12/5; 12/5; ; 12/5; 12/5; 12/5
Bournemouth; 31/10; 13/5; 14/5; 14/5; 3; 3; 3; 29/10; 14/5; 3; 14/5; 3; 11/4; 3; 3; 14/5; 58/19; 11/4; 3; 58/19; 3; 58/19; 3; 3; ; 14/5; 14/5; 3
META; english/premier-league/west-brom-v-bournemouth; 2017-02-25 09:45:22 GMT+2; 2017-02-25 15:00; e70300-dr003
West Brom; 1; 1; 11/10; 21/20; 21/20; 1; 1; 21/20; 21/20; 1; 1; 1; 1; 1; 21/20; 1; 1; 21/20; 1; 1; 103/100; 42/41; 42/41; 1; ; 1; 1; 1
Draw; 5/2; 12/5; 49/20; 12/5; 5/2; 12/5; 5/2; 9/4; 12/5; 23/10; 12/5; 12/5; 49/20; 5/2; 12/5; 12/5; 12/5; 12/5; 12/5; 12/5; 62/25; 40/17; 12/5; 12/5; ; 12/5; 12/5; 12/5
Bournemouth; 31/10; 14/5; 14/5; 14/5; 3; 3; 16/5; 29/10; 14/5; 14/5; 3; 3; 59/20; 3; 3; 3; 56/19; 11/4; 3; 56/19; 13/4; 58/19; 3; 3; ; 14/5; 3; 3
META; english/premier-league/west-brom-v-bournemouth; 2017-02-25 11:45:22 GMT+2; 2017-02-25 15:00; e70300-dr003
West Brom; 1; 1; 11/10; 21/20; 21/20; 1; 1; 21/20; 21/20; 21/20; 21/20; 1; 1; 21/20; 21/20; 21/20; 1; 21/20; 1; 1; 51/50; 24/23; 42/41; 1; ; 1; 1; 21/20
Draw; 5/2; 12/5; 49/20; 12/5; 5/2; 12/5; 12/5; 9/4; 12/5; 23/10; 12/5; 23/10; 49/20; 12/5; 12/5; 12/5; 40/17; 12/5; 12/5; 40/17; 63/25; 40/17; 12/5; 12/5; ; 23/10; 23/10; 12/5
Bournemouth; 31/10; 14/5; 14/5; 14/5; 3; 3; 31/10; 29/10; 14/5; 3; 14/5; 10/3; 59/20; 3; 3; 31/10; 58/19; 11/4; 3; 58/19; 63/20; 3; 3; 3; ; 3; 3; 3
META; english/premier-league/west-brom-v-bournemouth; 2017-02-25 12:15:58 GMT+2; 2017-02-25 15:00; e70300-dr003
West Brom; 1; 1; 11/10; 21/20; 21/20; 1; 1; 21/20; 21/20; 21/20; 1; 21/20; 1; 21/20; 21/20; 21/20; 1; 21/20; 1; 1; 51/50; 24/23; 42/41; 1; ; 1; 21/20; 21/20
Draw; 5/2; 12/5; 49/20; 12/5; 5/2; 12/5; 12/5; 9/4; 12/5; 23/10; 12/5; 9/4; 49/20; 12/5; 12/5; 12/5; 40/17; 12/5; 12/5; 40/17; 63/25; 40/17; 12/5; 12/5; ; 23/10; 23/10; 12/5
Bournemouth; 31/10; 14/5; 14/5; 14/5; 3; 3; 31/10; 29/10; 14/5; 3; 3; 16/5; 59/20; 3; 3; 31/10; 58/19; 11/4; 3; 58/19; 63/20; 3; 3; 3; ; 3; 3; 3
META; english/premier-league/west-brom-v-bournemouth; 2017-02-25 12:58:07 GMT+2; 2017-02-25 15:00; e70300-dr003
West Brom; 21/20; 1; 21/20; 21/20; 11/10; 1; 21/20; 21/20; 21/20; 21/20; 1; 21/20; 1; 21/20; 21/20; 21/20; 1; 21/20; 1; 1; 51/50; 21/20; 42/41; 21/20; ; 1; 21/20; 21/20
Draw; 12/5; 12/5; 12/5; 12/5; 12/5; 12/5; 12/5; 9/4; 12/5; 23/10; 12/5; 9/4; 49/20; 12/5; 12/5; 12/5; 40/17; 12/5; 12/5; 40/17; 63/25; 40/17; 12/5; 23/10; ; 23/10; 23/10; 12/5
Bournemouth; 31/10; 14/5; 3; 14/5; 3; 3; 3; 29/10; 14/5; 3; 3; 16/5; 59/20; 3; 3; 31/10; 58/19; 11/4; 3; 58/19; 63/20; 3; 3; 3; ; 3; 3; 3
META; english/premier-league/west-brom-v-bournemouth; 2017-02-25 13:45:26 GMT+2; 2017-02-25 15:00; e70300-dr003
West Brom; 21/20; 1; 21/20; 21/20; 11/10; 1; 21/20; 21/20; 21/20; 21/20; 1; 21/20; 1; 21/20; 21/20; 21/20; 1; 21/20; 1; 1; 51/50; 24/23; 42/41; 21/20; ; 1; 21/20; 21/20
Draw; 12/5; 12/5; 12/5; 12/5; 12/5; 12/5; 12/5; 9/4; 12/5; 23/10; 12/5; 9/4; 49/20; 12/5; 12/5; 12/5; 40/17; 12/5; 12/5; 40/17; 5/2; 40/17; 12/5; 23/10; ; 23/10; 23/10; 12/5
Bournemouth; 16/5; 14/5; 3; 14/5; 3; 3; 31/10; 29/10; 14/5; 3; 3; 16/5; 59/20; 16/5; 3; 31/10; 58/19; 11/4; 3; 58/19; 16/5; 56/19; 3; 3; ; 3; 3; 3
META; english/premier-league/west-brom-v-bournemouth; 2017-02-25 15:45:24 GMT+2; 2017-02-25 15:00; e70300-dr003
West Brom; 1; 19/20; 21/20; 21/20; 21/20; 1; 1; 21/20; 21/20; 21/20; 1; 1; 1; 21/20; 21/20; 21/20; 1; 21/20; 20/21; 21/20; 1; 42/41; 39/40; 1; ; 20/21; 1; 21/20
Draw; 5/2; 12/5; 12/5; 12/5; 5/2; 12/5; 5/2; 9/4; 12/5; 23/10; 12/5; 23/10; 12/5; 12/5; 12/5; 12/5; 40/17; 23/10; 12/5; 40/17; 127/50; 40/17; 12/5; 12/5; ; 23/10; 23/10; 5/2
