META; spain/la-liga-primera/valencia-v-barcelona; 2017-11-05 22:20:08 GMT+2; 2017-11-26 14:00; Nothing; Xlenovo
Barcelona; ; ; ; ; 1; ; ; 10/11; ; ; ; 10/11; ; ; ; ; 19/20; ; 49/50; ; ; 10/11; ; 10/11; ; ; ; ; 
Barcelona ; 4/5; 5/6; 4/5; 5/6; 7/8; 4/5; 5/6; 8/11; 4/5; 4/5; 4/5; 4/5; 5/6; 5/6; 5/6; 5/6; 11/13; 4/5; 17/20; 4/5; 11/14; 4/5; 20/23; 10/13; 4/5; ; 4/5; 4/5; 5/6
Draw; 3; 14/5; 3; 14/5; 29/10; 31/10; 29/10; 3; 56/19; 3; 3; 3; 14/5; 3; 14/5; 3; 14/5; 29/10; 31/10; 31/10; 29/10; 3; 31/10; 3; 29/10; ; 3; 14/5; 3
Valencia; 16/5; 14/5; 29/10; 3; 3; 10/3; 29/10; 16/5; 13/4; 29/10; 16/5; 3; 3; 31/10; 16/5; 3; 3; 16/5; 10/3; 41/13; 16/5; 14/5; 3; 3; 16/5; ; 3; 3; 3
META; spain/la-liga-primera/valencia-v-barcelona; 2017-11-25 10:19:31 GMT+2; 2017-11-26 19:45; Nothing; Xlenovo
Barcelona ; 4/5; 5/6; 4/5; 5/6; 17/20; 4/5; 5/6; 8/11; 4/5; 4/5; 4/5; 4/5; 5/6; 5/6; 5/6; 5/6; 11/13; 4/5; 17/20; 4/5; 11/14; 4/5; 20/23; 10/13; 4/5; ; 4/5; 4/5; 5/6
Draw; 3; 14/5; 3; 14/5; 29/10; 31/10; 29/10; 3; 56/19; 3; 3; 3; 14/5; 3; 14/5; 3; 14/5; 37/13; 31/10; 31/10; 29/10; 3; 31/10; 3; 29/10; ; 3; 14/5; 3
Valencia; 16/5; 14/5; 29/10; 3; 3; 10/3; 29/10; 16/5; 13/4; 29/10; 16/5; 3; 16/5; 31/10; 16/5; 3; 3; 41/13; 10/3; 41/13; 16/5; 14/5; 3; 3; 16/5; ; 3; 3; 3
META; spain/la-liga-primera/valencia-v-barcelona; 2017-11-25 14:19:49 GMT+2; 2017-11-26 19:45; Nothing; Xlenovo
Barcelona ; 4/5; 5/6; 4/5; 5/6; 4/5; 4/5; 4/5; 8/11; 4/5; 4/5; 4/5; 4/5; 5/6; 5/6; 5/6; 5/6; 4/5; 4/5; 17/20; 4/5; 11/14; 4/5; 20/23; 10/13; 4/5; ; 4/5; 4/5; 5/6
Draw; 3; 14/5; 3; 14/5; 29/10; 31/10; 29/10; 3; 56/19; 3; 3; 3; 14/5; 3; 14/5; 3; 29/10; 29/10; 31/10; 31/10; 29/10; 3; 31/10; 3; 29/10; ; 3; 14/5; 3
Valencia; 16/5; 14/5; 29/10; 3; 10/3; 10/3; 29/10; 16/5; 13/4; 3; 16/5; 3; 16/5; 31/10; 16/5; 3; 13/4; 16/5; 10/3; 41/13; 16/5; 14/5; 3; 3; 16/5; ; 3; 3; 3
META; spain/la-liga-primera/valencia-v-barcelona; 2017-11-25 18:19:28 GMT+2; 2017-11-26 19:45; Nothing; Xlenovo
Barcelona ; 4/5; 5/6; 4/5; 5/6; 4/5; 4/5; 4/5; 8/11; 4/5; 4/5; 4/5; 4/5; 5/6; 5/6; 5/6; 5/6; 4/5; 4/5; 21/25; 4/5; 11/14; 4/5; 20/23; 10/13; 4/5; ; 4/5; 4/5; 5/6
Draw; 3; 14/5; 3; 14/5; 29/10; 31/10; 29/10; 3; 56/19; 3; 3; 3; 14/5; 3; 14/5; 3; 29/10; 29/10; 31/10; 31/10; 29/10; 3; 31/10; 3; 29/10; ; 3; ; 3
Valencia; 16/5; 14/5; 29/10; 3; 10/3; 10/3; 3; 16/5; 13/4; 3; 16/5; 3; 16/5; 31/10; 16/5; 3; 13/4; 16/5; 17/5; 41/13; 16/5; 3; 3; 3; 16/5; ; 3; 3; 3
META; spain/la-liga-primera/valencia-v-barcelona; 2017-11-25 22:19:01 GMT+2; 2017-11-26 19:45; Nothing; Xlenovo
Barcelona ; 4/5; 5/6; 4/5; 5/6; 4/5; 4/5; 5/6; 8/11; 5/6; 4/5; 4/5; 4/5; 5/6; 5/6; 5/6; 5/6; 4/5; 4/5; 21/25; 13/16; 9/11; 4/5; 20/23; 10/13; 4/5; ; 4/5; 4/5; 5/6
Draw; 3; 14/5; 3; 14/5; 29/10; 31/10; 29/10; 3; 31/10; 3; 3; 3; 14/5; 3; 14/5; 3; 29/10; 29/10; 31/10; 31/10; 3; 3; 31/10; 3; 29/10; ; 3; ; 3
Valencia; 16/5; 14/5; 29/10; 3; 10/3; 10/3; 3; 16/5; 56/19; 3; 16/5; 3; 16/5; 31/10; 16/5; 3; 13/4; 41/13; 17/5; 58/19; 29/10; 3; 3; 3; 16/5; ; 3; 3; 3
META; spain/la-liga-primera/valencia-v-barcelona; 2017-11-26 02:18:53 GMT+2; 2017-11-26 19:45; Nothing; Xlenovo
Barcelona ; 4/5; 5/6; 4/5; 5/6; 17/20; 4/5; 5/6; 8/11; 5/6; 4/5; 4/5; 4/5; 5/6; 5/6; 5/6; 5/6; 5/6; 4/5; 21/25; 13/16; 13/16; 4/5; 20/23; 10/13; 4/5; ; 4/5; 4/5; 5/6
Draw; 3; 14/5; 3; 14/5; 3; 31/10; 29/10; 3; 56/19; 3; 3; 3; 14/5; 3; 14/5; 3; 29/10; 29/10; 63/20; 31/10; 29/10; 3; 31/10; 3; 29/10; ; 3; 3; 3
Valencia; 16/5; 14/5; 29/10; 3; 3; 10/3; 3; 16/5; 31/10; 3; 16/5; 3; 3; 31/10; 16/5; 3; 3; 41/13; 67/20; 58/19; 31/10; 3; 3; 3; 41/13; ; 3; 3; 3
META; spain/la-liga-primera/valencia-v-barcelona; 2017-11-26 10:18:47 GMT+2; 2017-11-26 19:45; Nothing; Xlenovo
Barcelona ; 4/5; 3/4; 3/4; 5/6; 4/5; 4/5; 4/5; 8/11; 5/6; 3/4; 4/5; 3/4; 4/5; 4/5; 4/5; 4/5; 7/9; 10/13; 81/100; 11/14; 13/16; 4/5; 4/5; 10/13; 4/5; ; 8/11; 8/11; 8/11
Draw; 14/5; 14/5; 3; 14/5; 3; 31/10; 29/10; 3; 56/19; 3; 3; 14/5; 14/5; 3; 3; 3; 3; 56/19; 13/4; 41/13; 29/10; 3; 31/10; 3; 3; ; 3; 3; 3
Valencia; 3; 3; 3; 3; 16/5; 10/3; 3; 16/5; 31/10; 16/5; 16/5; 16/5; 10/3; 16/5; 3; 16/5; 16/5; 16/5; 17/5; 31/10; 31/10; 3; 16/5; 3; 13/4; ; 3; 3; 10/3
META; spain/la-liga-primera/valencia-v-barcelona; 2017-11-26 14:18:52 GMT+2; 2017-11-26 19:45; Nothing; Xlenovo
Barcelona ; 3/5; 8/13; 4/7; 8/13; 8/13; 4/6; 3/5; 8/15; 3/5; 4/7; 3/5; 4/7; 6/10; 6/10; 4/7; 8/13; 3/5; 4/7; 3/5; 3/5; 3/5; 4/7; 3/5; 4/7; 4/7; ; 4/7; 8/11; 4/7
Draw; 7/2; 10/3; 10/3; 7/2; 7/2; 17/5; 10/3; 7/2; 18/5; 17/5; 18/5; 10/3; 7/2; 17/5; 15/4; 7/2; 17/5; 18/5; 79/20; 37/10; 7/2; 7/2; 18/5; 7/2; 62/17; ; 7/2; 3; 7/2
Valencia; 4; 19/5; 4; 18/5; 4; 15/4; 15/4; 4; 39/10; 21/5; 4; 4; 4; 17/4; 4; 4; 4; 77/19; 43/10; 75/19; 39/10; 19/5; 17/4; 4; 41/10; ; 4; 3; 21/5
META; spain/la-liga-primera/valencia-v-barcelona; 2017-11-26 18:18:31 GMT+2; 2017-11-26 19:45; Nothing; Xlenovo
Barcelona ; 4/7; 8/13; 3/5; 8/13; 4/7; 4/7; 3/5; 8/15; 3/5; 4/7; 3/5; 6/10; 6/10; 6/10; 8/13; 8/13; 4/7; 10/17; 31/50; 11/18; 7/12; 4/7; 13/20; 11/20; 10/17; ; 4/7; 8/11; 4/7
Draw; 7/2; 10/3; 17/5; 7/2; 15/4; 18/5; 7/2; 7/2; 37/10; 10/3; 18/5; 16/5; 7/2; 7/2; 15/4; 7/2; 15/4; 62/17; 77/20; 62/17; 18/5; 7/2; 18/5; 7/2; 62/17; ; 7/2; 3; 7/2
Valencia; 17/4; 19/5; 4; 18/5; 4; 4; 15/4; 4; 39/10; 4; 4; 4; 4; 17/4; 7/2; 4; 4; 39/10; 21/5; 75/19; 39/10; 4; 19/5; 17/4; 4; ; 7/2; 3; 21/5
META; spain/la-liga-primera/valencia-v-barcelona; 2017-11-26 22:18:40 GMT+2; 2017-11-26 19:45; In Play; Xlenovo
Barcelona; ; 2/3; 4/6; 7/10; 13/20; ; 7/10; 8/11; 19/29; 4/6; 4/6; 4/6; ; 4/6; 7/10; ; 11/17; ; ; ; 19/29; ; ; 4/6; 19/29; ; 8/13; 4/6; 4/6
Draw; ; 11/4; 27/10; 11/4; 27/10; ; 3; 13/5; 3; 27/10; 3; 14/5; ; 27/10; 11/4; ; 11/4; ; ; ; 3; ; ; 57/20; 3; ; 3; 3; 3
Valencia; ; 4; 18/5; 19/5; 21/5; ; 4; 7/2; 15/4; 15/4; 4; 4; ; 17/4; 37/10; ; 17/4; ; ; ; 15/4; ; ; 17/4; 15/4; ; 21/5; 9/2; 21/5
